Input Sentences,Output Sentences,Grammatical Error
विप्रो की ओर से पूल कैंपस के लिए कुरुक्षेत्र विश्वविद्यालय के यूआईईटी संस्थान को चुना गया है। संस्थान निदेशक.ि...... पढ़े,विप्रो की ओर से पूल कैंपस के लिए कुरुक्षेत्र विश्वविद्यालय के यूआईईटी संस्थान को चुना गया है। संस्थान निदेशक....... पढ़े,1
"वैसे डार्क चॉकलेट के कई स्वास्थ्य लाभ हैं, मगर आपको पहले डॉक्टर की सलाह का पालन जुरूर करना चाहिए।","वैसे डार्क चॉकलेट के कई स्वास्थ्य लाभ हैं, मगर आपको पहले डॉक्टर की सलाह का पालन जुरूर करना चाहिए।",0
टाउन की टीम ने राजेन्द्र क्लब को हराया,टाउन की टीम ने राजेन्द्र क्लब को हराया,0
लेकिन वह अपने बेटे को भेजने के लिए तैयार हो गईं.,लेकिन वह अपने बेटे को भेजने के लिए तैयार हो गईं.,0
गुलाब की 'सीमा' कली निखरी है जब,गुलाब की कली 'सीमा' निखरी है जब,1
अंतर्राष्ट्रीय समय के अनुसार प्रधानमंत्री मनमोहन सिंह के मंगलवार रात लंदन पहुंचने की संभावना है।,अंतर्राष्ट्रीय समय के अनुसार प्रधानमंत्री मनमोहन सिंह के मंगलवार रात लंदन पहुंचने की संभावना है।,0
हिंदी न्यूज़ बिहार भागलपुर भागलपुर में पारिवारिक विवाद में भाई और भतीजे की गोली मारकर बेरहमी से हत्या,हिंदी न्यूज़ बिहार भागलपुर भागलपुर में पारिवारिक विवाद में भाई और भतीजे की गोली मारकर बेरहमी से हत्या,0
देर रात सिद्धि के लिए चौघड़िया मुहूर्त - 10.39 से 12.12 तक।,देर रात सिद्धि के लिए चौघड़िया मुहूर्त - 10.39 से 12.12 तक।,0
जिले के कैलरम गांव की एक कबेटी दहेज लोभियों के हाथों बलि चढ़ा दी गई। युवती के भाई... पढ़े,जिले के कैलरम गांव की एक बेटी दहेज लोभियों के हाथों बलि चढ़ा दी गई। युवती के भाई... पढ़े,1
ओमप्रकाश राजभर ने अपनी पार्टी के 39 प्रत्याशियों की सूची जारी की,ओमप्रकाश राजभर ने अपनी पार्टी के 39 प्रत्याशियों की सूची जारी की,0
और मैक्सवेल मार्श ने अर्धशतक जड़े,मैक्सवेल और मार्श ने अर्धशतक जड़े,1
"सरकार, आगरा में रैन बसेरों में नहीं हैं पूरे इंतजाम","सरकार, आगरा में रैन बसेरों में नहीं हैं पूरे इंतजाम",0
जुलूस निकाल जागरूकता का प्रयास,जुलूस निकाल जागरूकता का प्रयास,0
LEO (23 जुलाई – 22 अगस्त): कामकाज के दौरान लापरवाही भारी पड़ सकती है। किसी और से निजी बातें शेयर न करें। अपने कागजात संभाल कर रखें। अचानक यात्रा पर जाना पड़ सकता है।,LEO (23 जुलाई – 22 अगस्त): कामकाज के दौरान लापरवाही भारी पड़ सकती है। किसी और से निजी बातें शेयर न करें। अपने कागजात संभाल कर रखें। अचानक यात्रा पर जाना पड़ सकता है।,0
इनमें अगर से चरमपंथियों ख़तरे और व्यापक झूठी ख़बरों को जोड़ दिया जाए तो हालात और ख़राब हो जाते हैं.,इनमें अगर चरमपंथियों से ख़तरे और व्यापक झूठी ख़बरों को जोड़ दिया जाए तो हालात और ख़राब हो जाते हैं.,1
एनईएटी रसीदें स्थापित करना आसान है। बस दिशा का पालन करें और बाद में संभावित परेशानियों से बचने के लिए NEAT रसीद स्थापना के दौरान कोई शॉर्टकट लें।,एनईएटी रसीदें स्थापित करना आसान है। बस दिशा का पालन करें और बाद में संभावित परेशानियों से बचने के लिए NEAT रसीद स्थापना के दौरान कोई शॉर्टकट लें।,0
20 फीसदी हिस्सेदारी और बोर्ड में दो सीट मांग सकता है टाटा ग्रुप,20 फीसदी हिस्सेदारी और बोर्ड में दो सीट मांग सकता है टाटा ग्रुप,0
"ताज के साये में राज्‍यपाल ने किया चाय और नाश्‍ता, मौसम का साये उठाया लुत्‍फ","ताज के साये में राज्‍यपाल ने किया चाय और नाश्‍ता, मौसम का उठाया लुत्‍फ",1
भरतपुर। सड़क  सुरक्षा वृहद जन जागरूकता कार्यक्रम के तहत शुक्रवार को राजा मानसिरंह  सर्किल से वाहन एवं पैदल रैली को... पढ़ें,भरतपुर। सड़क  सुरक्षा वृहद जन जागरूकता कार्यक्रम के तहत शुक्रवार को राजा मानसिंह  सर्किल से वाहन एवं पैदल रैली को... पढ़ें,1
एकड़ 67 भूमि पर मंदिर,67 एकड़ भूमि पर मंदिर,1
"बर्थडे गर्ल तब्बू का नया लुक आया सामने, फिल्म 'अला वैकुंठपूमुर्लु' मेंव दिखेंगी तब्बू","बर्थडे गर्ल तब्बू का नया लुक आया सामने, फिल्म 'अला वैकुंठपूमुर्लु' में दिखेंगी तब्बू",1
सिर्फ भभुआ शहर में जांच करने के लिए 11 टोमों का किया गया है गठन,सिर्फ भभुआ शहर में जांच करने के लिए 11 टोमों का किया गया है गठन,0
"उत्तराखंड में दिख रहें हैं, विधानसभा चुनाव के आसार","उत्तराखंड में दिख रहें हैं, विधानसभा चुनाव के आसार",0
रेलवे स्टेशन पर उपलब्ध विश्रामालय व उनका किराया,गोरखपुर रेलवे स्टेशन पर उपलब्ध विश्रामालय व उनका किराया,1
"इंस्पइेक्टर: हम कहा भाई यह तीन जगह के तीन लोग हैं, कहा कैसे? तो कहा, हमारे यहां सिकरीगंज के चंदन नाम के आदमी ने लड़कों को रूकवाया है।","इंस्पेक्टर: हम कहा भाई यह तीन जगह के तीन लोग हैं, कहा कैसे? तो कहा, हमारे यहां सिकरीगंज के चंदन नाम के आदमी ने लड़कों को रूकवाया है।",1
स्कूल एवं बाल वाहिनी पर लगंगे जागरूकता स्टिकर,स्कूल एवं बाल वाहिनी पर लगंगे जागरूकता के स्टिकर,1
"बंगाल: कांग्रेस के बाद लेफ्ट ने भी दिया ममता को झटका, कहा- 'हाथ' के साथ मिलकर लड़ेंगे चुनाव","बंगाल: कांग्रेस के बाद लेफ्ट ने भी दिया ममता को झटका, कहा- 'हाथ' के साथ मिलकर लड़ेंगे चुनाव",0
मेडल के बजाय को शेख तीन महीने जेल में बिताने पड़े,मेडल के बजाय शेख को तीन महीने जेल में बिताने पड़े,1
फोन को मजबूत बनाने के लिए सिरेमिक शील्ड का इस्तेमाल किया गया है।,फोन को मजबूत बनाने के लिए इसमें सिरेमिक शील्ड का इस्तेमाल किया गया है।,1
20- पानी की उपलब्धता का पता लगाने लगाने के लिए इन कोचों में ख़ास डिजिटल तकनीक का प्रयोग किया गया है.,20- पानी की उपलब्धता का पता लगाने के लिए इन कोचों में ख़ास डिजिटल तकनीक का प्रयोग किया गया है.,1
"ढाई लाख पेंशनर्स को BJP सरकार ने दिया होली का तोहफा, नई पेंशन की सूची देखिए","ढाई लाख पेंशनर्स को BJP सरकार ने दिया होली का तोहफा, नई पेंशन की सूची देखिए",0
विधि सम्मत नहीं था लोकायुक्त के चयन का प्रस्ताव,विधि सम्मत नहीं था लोकायुक्त के चयन का प्रस्ताव,0
महिलाएं में में गंभीर होती है बीमारी,महिलाएं में गंभीर होती है बीमारी,1
"“दरअसल, आपका हृदय तेजी से धड़क कर अपनी खोई क्षमता को पूरा करने की कोशिश करता है, ताकि शरीर के ऊतकों व अंगों को पर्याप्त मात्रा में रक्त पहुंचाया जा सके।”","“दरअसल, आपका हृदय तेजी से धड़क कर अपनी खोई क्षमता को पूरा करने की कोशिश करता है, ताकि शरीर के ऊतकों व अंगों को पर्याप्त मात्रा में रक्त पहुंचाया जा सके।”",0
स्वास्थ्य मंत्रालय: कुछ राज्यों और निजी अस्पताल में टीका खरीद में हुई गड़बड़ी,स्वास्थ्य मंत्रालय: कुछ राज्यों और निजी अस्पताल में टीका खरीद में हुई गड़बड़ी,0
लिया। बिहार सरकार भी खरीदने टीके के लिए वैश्विक निविदा जारी करने पर विचार कर,लिया। बिहार सरकार भी टीके खरीदने के लिए वैश्विक निविदा जारी करने पर विचार कर,1
"इम्यूनिटी बढ़ाए- मूली में विटामिन सी भरपूर मात्रा में पाया जाता है, यह आपकी इम्यूनिटी को बूस्ट करने में मदद करता है.","इम्यूनिटी बढ़ाए- मूली में विटामिन सी भरपूर मात्रा में पाया जाता है, यह आपकी इम्यूनिटी को बूस्ट करने में मदद करता है.",0
किसी संक्रमित पशु के गिरफ्त में आने से भी रोग होने की संभावना रहती है.,किसी संक्रमित पशु के गिरफ्त में आने से भी यह रोग होने की संभावना रहती है.,1
संजय ने राउत सचिन वाजे का बचाव करते हुए कहा कि वह बहुत ईमानदार हैं,संजय राउत ने सचिन वाजे का बचाव करते हुए कहा कि वह बहुत ईमानदार हैं,1
वहीं गुरुवार को राजधानी लखनऊमें हिंसक प्रदर्शन के बाद मौहाल शांतिपूर्ण है। हालांकि लखनऊ सहित कई जिलों में मोबाइल इंटरनेट और एसएमएस की सेवाएं बंद रहीं ।,वहीं गुरुवार को राजधानी लखनऊमें हिंसक प्रदर्शन के बाद मौहाल शांतिपूर्ण है। हालांकि लखनऊ सहित कई जिलों में मोबाइल इंटरनेट और एसएमएस की सेवाएं बंद रहीं ।,0
पश्चिम बंगाल में  10 प्रत्याशी घोषति,पश्चिम बंगाल में  10 प्रत्याशी घोषित,1
कांग्रेस कमेटी के राष्ट्रीय सचिव बोले- जेएंडके में जल्द हो विस कमेटी चुनाव,कांग्रेस कमेटी के राष्ट्रीय सचिव बोले- जेएंडके में जल्द हो विस चुनाव,1
2020 में लैपटॉप की डिमांड 27.9% बढ़ी,2020 में लैपटॉप की डिमांड 27.9% बढ़ी,0
"बैंक ऑफ त्रावणकोर ने निर्देशों का बैंक किया उल्‍लंघन, रिजर्व बैंक ने लगाया एक करोड़ रुपए का जुर्माना","बैंक ऑफ त्रावणकोर ने निर्देशों का किया उल्‍लंघन, रिजर्व बैंक ने लगाया एक करोड़ रुपए का जुर्माना",1
अर्जुन के चुने जाने के बाद से ही तिकी हैं उनपर सब की निगाहें,अर्जुन के चुने जाने के बाद से ही तिकी हैं उनपर सब की निगाहें,0
बरेली के 30 सेल्समैनों से 30 हजार रुपये की लूट,बरेली के सेल्समैनों से 30 हजार रुपये की लूट,1
नई दिल्ली- सेल्फी स्टिक एक 40 इंच की मेटल रॉड होती है। इनके छोर पर आप अपने स्मार्टफोन को अटैच रकके सेल्फी ले सकते हैं। इस तरह की सेल्फी स्टिक का चलन आज कल ज़ोरो-शोरो,नई दिल्ली- सेल्फी स्टिक एक 40 इंच की मेटल रॉड होती है। इनके छोर पर आप अपने स्मार्टफोन को अटैच करके सेल्फी ले सकते हैं। इस तरह की सेल्फी स्टिक का चलन आज कल ज़ोरो-शोरो,1
-समारोह में चेंज एजेंट -सबल साथियाें - को भी सम्मानित किया गया।,-समारोह में चेंज एजेंट -सबल साथियाें - को भी सम्मानित किया गया।,0
पूर्वांचल एक्सप्रेस-वे पर यात्रा करने वालों को कुछ महीने टोल नहीं देना होगा,पूर्वांचल एक्सप्रेस-वे पर यात्रा करने वालों को कुछ महीने टोल नहीं देना होगा,0
13594.87 करोड़ के अनुपूरक बजट में 1145.59 करोड़ केंद्र का हिस्सा है। यह रकम घटाने पर राज्य के हिस्से से 12449.27 करोड़ का खर्च प्रस्तावित है।,13594.87 करोड़ के अनुपूरक बजट में 1145.59 करोड़ केंद्र का हिस्सा है। यह रकम घटाने पर राज्य के हिस्से से 12449.27 करोड़ का खर्च प्रस्तावित है।,0
किशोरी से छेड़छाड़ में आरोपी को तीन साल सजा की,किशोरी से छेड़छाड़ में आरोपी को तीन साल की सजा,1
वृजमोहन अग्रवाल की गिनती राज्‍य के सबसे सीनियर बीजेपी नेताओं में होती है।,वृजमोहन अग्रवाल की गिनती राज्‍य के सबसे सीनियर बीजेपी नेताओं में होती है।,0
भारत की प्रथम महिला चीफ जस्टिस बनना चाहती हैं श्रिया सिंह,भारत की प्रथम महिला चीफ जस्टिस बनना चाहती हैं श्रिया सिंह,0
"रेलवे, सरकारी बसों और हवाईअड्डे पर अगले 72 घंटे तक एयरलाइंस काउंटर पर टिकट खरीदने के लिये पुराने नोट स्वीकार किए जाएंगे.","रेलवे, सरकारी बसों और हवाईअड्डे पर अगले 72 घंटे तक एयरलाइंस काउंटर पर टिकट खरीदने के लिये पुराने नोट स्वीकार किए जाएंगे.",0
"नोटिस के मुताबिक, लोगों को नमाज के दौरान एक-दूसरे से थोड़ी दूरी पर बैठने के लिए कहा गया है और बीच-बीच में एक पंक्ति भी छोड़ने के लिए कहा गया है।","नोटिस के मुताबिक, लोगों को नमाज के दौरान एक-दूसरे से थोड़ी दूरी पर बैठने के लिए कहा गया है और बीच-बीच में एक पंक्ति भी छोड़ने के लिए कहा गया है।",0
‘न तो आवश्यक है और न ही वांछनीय’,‘न तो आवश्यक है और न ही वांछनीय’,0
मामले की जानकारी लेती पुलिस - फोटो अमर उजाला,मामले की जानकारी लेती पुलिस - फोटो : अमर उजाला,1
एनडीए की संकल्प रैली ऐतिहासिक होगी: होगी: विधायक,एनडीए की संकल्प रैली ऐतिहासिक होगी: विधायक,1
पांच कंपनियों का कुल डिविडेंट यील्ड 15 फीसदी से अधिक,पांच कंपनियों का कुल डिविडेंट यील्ड 15 फीसदी से अधिक,0
"मायावती ने कहा, लोग मुझे मानते हैं देवी, पर बीजेपी जीत सकती जीत थी दिल","मायावती ने कहा, लोग मुझे मानते हैं देवी, पर बीजेपी जीत सकती थी दिल",1
19 एसआरडी 02- सरदारपुर में तेजाजी मंदिर के  निशान की पूजा-अर्चना करते भक्त।,19 एसआरडी 02- सरदारपुर में तेजाजी मंदिर के  निशान की पूजा-अर्चना करते भक्त।,0
इजरायली अधिकारियों ने पर्यटकों की सुरक्षा की समीक्षा की,इजरायली अधिकारियों ने पर्यटकों की सुरक्षा की समीक्षा की,0
"झारखंड विधानसभा : राज्यपाल के अभिभाषण पारित पर नहीं हो सकी चर्चा, हंगामे के बीच अभिभाषण सदन से पारित","झारखंड विधानसभा : राज्यपाल के अभिभाषण पर नहीं हो सकी चर्चा, हंगामे के बीच अभिभाषण सदन से पारित",1
'ऐसा लगता है कि धोनी संन्यास के बारे मेंऐ नहीं सोच रहे हैं','ऐसा लगता है कि धोनी संन्यास के बारे में नहीं सोच रहे हैं',1
शादी से वापस लौट रहे थे ोलग,शादी से वापस लौट रहे थे लोग,1
पुलिस ने दोनों को जेल भेजा,पुलिस ने दोनों को भेजा जेल,1
बताया जा रहा है कि फूलसिंह की तीनों बेटियों की शादी हो चुकी है। रबी का पांच साल पहले ग्वालियर में मुकेश नामक युवक से विवाह हुआ था। उनका एक बेटा भी है।,बताया जा रहा है कि फूलसिंह की तीनों बेटियों की शादी हो चुकी है। रूबी का पांच साल पहले ग्वालियर में मुकेश नामक युवक से विवाह हुआ था। उनका एक बेटा भी है।,1
"दिल्ली में तेजी से घट रहे कोरना के मामले, सत्येन्द्र जैन बोले- पूरे देश में सबसे कम पॉजिटिविटी दर दिल्ली में","दिल्ली में तेजी से घट रहे कोरोना के मामले, सत्येन्द्र जैन बोले- पूरे देश में सबसे कम पॉजिटिविटी दर दिल्ली में",1
"मैदान में उतरेंगे गडकरी, मध्यस्थों के द्वारा शुरू होगा वार्तालाप","मैदान में उतरेंगे गडकरी, मध्यस्थों के द्वारा शुरू होगा वार्तालाप",0
"टीवी विज्ञापन से लोगों के बीच लोकप्रिय होता जा रहा चेहरा किसी आम कार्यकर्ता नहीं, बल्कि गोवा एनएसयूआइ की अध्यक्ष हसीबा अमीन का है।","टीवी विज्ञापन से लोगों के बीच लोकप्रिय होता जा रहा चेहरा किसी आम कार्यकर्ता नहीं, बल्कि गोवा एनएसयूआइ की अध्यक्ष हसीबा अमीन का है।",0
"न रिपोर्ट मांगी, न से खुद कराई कोरोना जांच फिर भी लगा दी गई पुलिसकर्मियों की ड्यूटी","न रिपोर्ट मांगी, न खुद से कराई कोरोना जांच फिर भी लगा दी गई पुलिसकर्मियों की ड्यूटी",1
"तो क्या मोदी सरकार के चार वर्षों में भारत हुआ बेहाल, कोई भी वादा नहीं  हुआ पूरा?","तो क्या मोदी सरकार के चार वर्षों में भारत हुआ बेहाल, कोई भी वादा नहीं हुआ पूरा?",1
चुनाव की घोषणा के साथ ही जिस पार्टी को सबसे अधिक बागियों का सामना करना को पड़ा है। वह शिरोमणिी अकाली... पढ़ें,चुनाव की घोषणा के साथ ही जिस पार्टी को सबसे अधिक बागियों का सामना करना  पड़ा है। वह शिरोमणिी अकाली... पढ़ें,1
राम विलास वेदांती ने आप नेता और राज्यसभा सांसद संजय सिंह पर गंभीर आरोप लगाए हैं(फोटो सोर्स: सोर्स: PTI)।,राम विलास वेदांती ने आप नेता और राज्यसभा सांसद संजय सिंह पर गंभीर आरोप लगाए हैं(फोटो सोर्स: PTI)।,1
"लाइव कॉन्सर्ट में गा रहे थे पंकज उदाास, फरमाइश न सुनाने पर फैन ने निकाल दी थी पिस्टल; जानिए फिर क्या हुआ..","लाइव कॉन्सर्ट में गा रहे थे पंकज उदास, फरमाइश न सुनाने पर फैन ने निकाल दी थी पिस्टल; जानिए फिर क्या हुआ..",1
"ड्यूटी दे रहे दो पुलिसकर्मियों को ऑडी ने मारी टक्कर, दोनों की मौत","ड्यूटी दे रहे दो पुलिसकर्मियों को ऑडी ने मारी टक्कर, दोनों की मौत",0
मजे से खायें हाथ उठा में कर पिज्जा,मजे से खायें हाथ में उठा कर पिज्जा,1
"अस्पताल में न तो सफाई न ही दवाई, डॉक्टरों का भी टोटा ने बताई समस्या","अस्पताल में न तो सफाई न ही दवाई, डॉक्टरों का भी टोटा ने बताई समस्या",0
दिल्ली हिंसा पर हंगामे के बाद लोकसभा की कार्यवाही दोपहर बजे तक के लिए स्थगित,दिल्ली हिंसा पर हंगामे के बाद लोकसभा की कार्यवाही दोपहर 12 बजे तक के लिए स्थगित,1
हिंदी न्यूज़ उत्तर प्रदेश संभल पुण्यतिथि पर याद परिक्रमा किए परिक्रमा संस्थापक,हिंदी न्यूज़ उत्तर प्रदेश संभल पुण्यतिथि पर याद किए परिक्रमा संस्थापक,1
ये भी पढ़ें – एक नज़र छत्तीसगढ़ पुरातात्विक पर्यटन स्थल पर,ये भी पढ़ें – एक नज़र छत्तीसगढ़ के पुरातात्विक पर्यटन स्थल पर,1
जातिगत समीकरणों का रखा ध्यान,जातिगत समीकरणों का रखा ध्यान,0
- केंद्रीय सरना समिति के संतोष महासचिव तिर्की ने कहा कि पत्थलगड़ी आदिवासी समाज का लिखित दस्तावेज है। जब तक हम इसे सुरक्षित रखेंगे। तब तक हमारा अस्तित्व बचा रहेगा।,- केंद्रीय सरना समिति के महासचिव संतोष तिर्की ने कहा कि पत्थलगड़ी आदिवासी समाज का लिखित दस्तावेज है। जब तक हम इसे सुरक्षित रखेंगे। तब तक हमारा अस्तित्व बचा रहेगा।,1
सोशल मीडिया पर कुछ लोगों द्वारा गाय की चमड़ी निकाले जाने की एक तस्वीर शेयर की जा रही है। दिल्ली अकाली दल के विधायक मनजिंदर सिरसा ने इस तस्वीर को…,सोशल मीडिया पर कुछ लोगों द्वारा गाय की चमड़ी निकाले जाने की एक तस्वीर शेयर की जा रही है। दिल्ली अकाली दल के विधायक मनजिंदर सिरसा ने इस तस्वीर को…,0
Home > धर्म अध्यात्म > जानें ''डांडिया'' को लेकर लेकर ...,Home >  धर्म अध्यात्म >  जानें ''डांडिया'' को लेकर ...,1
मीड सेमेस्टर में प्रोन्नति के लिए विद्यार्थियों को भरना होगा परीक्षा फार्म,मीड सेमेस्टर में प्रोन्नति के लिए विद्यार्थियों को भरना होगा परीक्षा फार्म,0
समाज की एकता ही हमें नई पहचान दिलाएगी : विधायक रंजना,समाज की एकता ही हमें नई पहचान दिलाएगी : विधायक रंजना,0
हिंदी न्यूज़ बिहारमधेपुरा शौचालय नहीं बनाने पर सख्ती,हिंदी न्यूज़ बिहार मधेपुरा शौचालय नहीं बनाने पर सख्ती,1
एटा से लाई गई प्रतिबधित थाई मांगुर मछली जब्त,एटा से लाई गई प्रतिबंधित थाई मांगुर मछली जब्त,1
ट्रम्प ने कहा आपकी बंदूके आपसे छीन लेना चाहती है हलिेरी क्लिंटन,ट्रम्प ने कहा आपकी बंदूके आपसे छीन लेना चाहती है हिलेरी क्लिंटन,1
साजिथ कुमार पिछले सप्ताह अनुच्छे द370 को निरस्त करने के बाद कश्मीर में संचार और नागरिकों के आवागमन पर लगाए गए प्रतिबंधों पर कटाक्ष करते हैं.,साजिथ कुमार पिछले सप्ताह अनुच्छेद 370 को निरस्त करने के बाद कश्मीर में संचार और नागरिकों के आवागमन पर लगाए गए प्रतिबंधों पर कटाक्ष करते हैं.,1
लखनऊ चारबाग़ रेलवे स्टेशन और कानपुर सेंट्रल रेलवे स्टेशन इंडो-सरैसेनिक शैली में बनाए गए थे।,लखनऊ चारबाग़ रेलवे स्टेशन और कानपुर सेंट्रल रेलवे स्टेशन इंडो-सरैसेनिक शैली में बनाए गए थे।,0
इसे पढ़ेंः सुप्रीम कोर्ट ने कांग्रेस छोड़ भाजपा में शामिल होने वाले मणिपुर के मंत्री टीएच श्याम कुमार को बर्खास्त किया,इसे भी पढ़ेंः सुप्रीम कोर्ट ने कांग्रेस छोड़ भाजपा में शामिल होने वाले मणिपुर के मंत्री टीएच श्याम कुमार को बर्खास्त किया,1
पंचामृत में तुलती के पत्तों का भी इस्तेमाल किया जाता है। इसमें मौजूद तत्व किसी भी तरह के रोग से शरीर को बचाता है।,पंचामृत में तुलती के पत्तों का भी इस्तेमाल किया जाता है। इसमें मौजूद तत्व किसी भी तरह के रोग से शरीर को बचाता है।,0
भारत और ऑस्ट्रेलिया के बीच मौजूदा वनडे सीरीज में रनों की झडी लगी हुई है। दोनों ही टीमें जमकर रन... पढ़े,भारत और ऑस्ट्रेलिया के बीच मौजूदा वनडे सीरीज में रनों की झडी लगी हुई है। दोनों ही टीमें जमकर रन... पढ़े,0
"तमिलनाडु निकाय चुनाव में भाजपा प्रत्याशी को मात्र एक मिले, वोट जिसे लेकर अब पुण्य प्रसून बाजपेयी और सोशल मीडिया…","तमिलनाडु निकाय चुनाव में भाजपा प्रत्याशी को मात्र एक वोट मिले, जिसे लेकर अब पुण्य प्रसून बाजपेयी और सोशल मीडिया…",1
