Input Sentences,Output Sentences
প্রশ্ন : বাংলাদেশের কোন ক্রিকেটারের খেলা দেখতে আপনি স্বাচ্ছন্দ্যবোধ করেন?,প্রশ্ন : বাংলাদেশের কোন ক্রিকেটারের খেলা দেখতে আপনি স্বাচ্ছন্দ্যবোধ করেন?
মুক্তচিন্তার ব্লগার ও প্রকাশকদের হত্যার প্রতিবাদে মানিকগঞ্জে বিক্ষোভ মিছিল ও সমাবেশ করেছে বিভিন্ন সংগঠন।,মুক্তচিন্তার ব্লগার ও প্রকাশকদের হত্যার প্রতিবাদে মানিকগঞ্জে বিক্ষোভ মিছিল ও সমাবেশ করেছে বিভিন্ন সংগঠন।
মাদক বা নেশা সেবন না করা,মাদক বা নেশা সেবন না করা
"অনাস্থা আনতে ৩০ বিধায়ক দরকার, বিজেপির আছে? প্রশ্ন সৌগতর","অনাস্থা আনতে ৩০ বিধায়ক দরকার, বিজেপির আছে? প্রশ্ন সৌগতর"
"প্রকাশ : ২২ ডিসেম্বর ২০২০, ১৪:১২ আপডেট : ২২ ডিসেম্বর ২০২০, ১৪:১০","প্রকাশ : ২২ ডিসেম্বর ২০২০, ১৪:১২ আপডেট : ২২ ডিসেম্বর ২০২০, ১৪:১০"
"চলচ্চিত্রের বিভিন্ন চরিত্রে অভিনয় করেছেন শিমুল খান, জয়িতা মাহলানবীশ, সাজু আহমেদ, নীলা, পাপিয়া, সাদিয়া প্রমুখ।","চলচ্চিত্রের বিভিন্ন চরিত্রে অভিনয় করেছেন শিমুল খান, জয়িতা মাহলানবীশ, সাজু আহমেদ, নীলা, পাপিয়া, সাদিয়া প্রমুখ।"
হিরা খাতুন এখন নারী উদ্যোক্তাদের মডেল,হিরা খাতুন এখন নারী উদ্যোক্তাদের মডেল
গ্রেপ্তার অমলকে মঙ্গলবার রাঙ্গামাটি কোর্টে পাঠানো হয়েছে বলে জানিয়েছে আইনশৃঙ্খলা বাহিনী।,গ্রেপ্তার অমলকে মঙ্গলবার রাঙ্গামাটি কোর্টে পাঠানো হয়েছে বলে জানিয়েছে আইনশৃঙ্খলা বাহিনী।
"সর্বশেষ এডিট : ২২ শে জুলাই, ২০১০  দুপুর ১:৫৫","সর্বশেষ এডিট : ২২ শে জুলাই, ২০১০  দুপুর ১:৫৫"
"কাদার ভেতর শিশুর কান্না, খড়ো ঘর, খাড়ি বালির ভেতর","কাদার ভেতর শিশুর কান্না, খড়ো ঘর, খাড়ি বালির ভেতর"
উদীচীর প্রতিষ্ঠাবার্ষিকী উপলক্ষে শুক্রবার কেন্দ্রীয় শহীদ মিনারে নৃত্য পরিবেশন করেন শিল্পীরা- সমকাল,উদীচীর প্রতিষ্ঠাবার্ষিকী উপলক্ষে শুক্রবার কেন্দ্রীয় শহীদ মিনারে নৃত্য পরিবেশন করেন শিল্পীরা- সমকাল
মাহমুদুল্লাহর প্রশংসায় পঞ্চমুখ ভিভিএস লক্ষণ,মাহমুদুল্লাহর প্রশংসায় পঞ্চমুখ ভিভিএস লক্ষণ
পুরাতন বাংলা সিনেমার কিছু ডায়ালগের ফেসবুক ভার্সনঃ,পুরাতন বাংলা সিনেমার কিছু ডায়ালগের ফেসবুক ভার্সনঃ
ছিন্নভিন্ন পরিবার প্রতি মুহূর্তে লড়িয়েছে তরুণ ফিলিপকে,ছিন্নভিন্ন পরিবার প্রতি মুহূর্তে লড়িয়েছে তরুণ ফিলিপকে
বিলুপ্ত বা বিলুপ্তপ্রায় ফসলাদি বিভিন্ন প্রকারের ডাল।,বিলুপ্ত বা বিলুপ্তপ্রায় ফসলাদি বিভিন্ন প্রকারের ডাল।
০৭ জুলাই ২০ । ২০:৪৭,০৭ জুলাই ২০ । ২০:৪৭
"যোগাযোগ: সভাপতি ,বরুড়া হাজী নোয়াব আলী পাইলট উচ্চ বিদ্যালয়,ডাক ও উপজেলা : বরুড়া,জেলা: কুমিল্লা","যোগাযোগ: সভাপতি ,বরুড়া হাজী নোয়াব আলী পাইলট উচ্চ বিদ্যালয়,ডাক ও উপজেলা : বরুড়া,জেলা: কুমিল্লা"
রাষ্ট্রপতিশাসিত ইরানের শাসনব্যবস্থায় সাধারণত ১২ জন ভাইস প্রেসিডেন্ট সরকারের কাজের সমন্বয়ে নিয়োজিত থাকেন।,রাষ্ট্রপতিশাসিত ইরানের শাসনব্যবস্থায় সাধারণত ১২ জন ভাইস প্রেসিডেন্ট সরকারের কাজের সমন্বয়ে নিয়োজিত থাকেন।
"গোমস্তাপুরে অস্ত্র, গুলিসহ একজন গ্রেপ্তার","গোমস্তাপুরে অস্ত্র, গুলিসহ একজন গ্রেপ্তার"
পুলিশের কাছ থেকে ইয়াবাসহ আটক নারীকে ছিনিয়ে নিল মাদকসেবীরা,পুলিশের কাছ থেকে ইয়াবাসহ আটক নারীকে ছিনিয়ে নিল মাদকসেবীরা
আইফোন স্টিভ জোবস-এর আবিষ্কার নয়!,আইফোন স্টিভ জোবস-এর আবিষ্কার নয়!
"অনেক ধন্যবাদ আপু আপনার মন্তব্যের জন্য- ভাল থাকুন, সুস্থ্য থাকুন।","অনেক ধন্যবাদ আপু আপনার মন্তব্যের জন্য- ভাল থাকুন, সুস্থ্য থাকুন।"
পরমাণু কেন্দ্রের নজরদারি ক্যামেরা নিয়ে সমঝোতায় পৌঁছেছে ইরান ও আইএইএ,পরমাণু কেন্দ্রের নজরদারি ক্যামেরা নিয়ে সমঝোতায় পৌঁছেছে ইরান ও আইএইএ
টেলিভিশন স্ক্রিন এতই পাতলা যে তা গুটিয়ে রাখা যাবে,টেলিভিশন স্ক্রিন এতই পাতলা যে তা গুটিয়ে রাখা যাবে
"স্বাস্থ্য দফতর সূত্রে খবর, নির্দেশ এলেই ভ্যাকসিন নিয়ে বেরিয়ে পড়বে বিশেষ গাড়িগুলি।","স্বাস্থ্য দফতর সূত্রে খবর, নির্দেশ এলেই ভ্যাকসিন নিয়ে বেরিয়ে পড়বে বিশেষ গাড়িগুলি।"
"পটুয়াখালীতে ছাত্রলীগের দু'গ্রুপের সংঘর্ষ, পুলিশসহ আহত ১০","পটুয়াখালীতে ছাত্রলীগের দু'গ্রুপের সংঘর্ষ, পুলিশসহ আহত ১০"
নিউজিল্যান্ডের বক্সারের কানে কামড় বসালেন মরক্কোর ইউনেস বাল্লা,নিউজিল্যান্ডের বক্সারের কানে কামড় বসালেন মরক্কোর ইউনেস বাল্লা
কিন্তু শয়তান তো প্রতিনিয়ত সব রূপেই প্রতিস্থাপিত হয়,কিন্তু শয়তান তো প্রতিনিয়ত সব রূপেই প্রতিস্থাপিত হয়
ব্রিটেনকে সেইলিংয়ের ফিন পুরুষ ইভেন্টে টানা পঞ্চম অলিম্পিক সোনা এনে দিয়েছেন জাইলস স্কট।,ব্রিটেনকে সেইলিংয়ের ফিন পুরুষ ইভেন্টে টানা পঞ্চম অলিম্পিক সোনা এনে দিয়েছেন জাইলস স্কট।
সম্মেলনের পাশাপাশি তিনি বিশ্বের বিভিন্ন গুরুত্বপূর্ণ নেতার সঙ্গে বৈঠক করবেন বলেও জানিয়েছে পাক সরকার।,সম্মেলনের পাশাপাশি তিনি বিশ্বের বিভিন্ন গুরুত্বপূর্ণ নেতার সঙ্গে বৈঠক করবেন বলেও জানিয়েছে পাক সরকার।
জলে নেমে কুমিরের সঙ্গে যুদ্ধের প্রস্তুতি সিএনএন-এর৷,জলে নেমে কুমিরের সঙ্গে যুদ্ধের প্রস্তুতি সিএনএন-এর৷
বিদ্যমান আইনের যতটুকু সম্ভব বাস্তবায়ন ও প্রয়োগ করার আশ্বাস দেন সিইসি নূরুল হুদা।,বিদ্যমান আইনের যতটুকু সম্ভব বাস্তবায়ন ও প্রয়োগ করার আশ্বাস দেন সিইসি নূরুল হুদা।
"প্রকাশ : ০৩ জুন ২০২১, ০৪:১০ আপডেট : ০৩ জুন ২০২১, ১৩:২৩","প্রকাশ : ০৩ জুন ২০২১, ০৪:১০ আপডেট : ০৩ জুন ২০২১, ১৩:২৩"
রিটে জামালপুর-৪ আসনের এমপি মুরাদ হাসানে কর্মকাণ্ডের বিচার বিভাগীয় তদন্তও চাওয়া হয়েছে।,রিটে জামালপুর-৪ আসনের এমপি মুরাদ হাসানে কর্মকাণ্ডের বিচার বিভাগীয় তদন্তও চাওয়া হয়েছে।
সিলেটে উন্নয়ন মেলা পরিদর্শন শেষে কথা বলেন সিইসি কে এম নুরুল হুদা। ছবি: এনটিভি,সিলেটে উন্নয়ন মেলা পরিদর্শন শেষে কথা বলেন সিইসি কে এম নুরুল হুদা। ছবি: এনটিভি
লিবিয়া থেকে দেশে ফিরে আসলেন দেড়শতাধিক বাংলাদেশি অভিবাসী- ফাইল ছবি,লিবিয়া থেকে দেশে ফিরে আসলেন দেড়শতাধিক বাংলাদেশি অভিবাসী- ফাইল ছবি
কিন্তু বলতে পারলাম না !,কিন্তু বলতে পারলাম না !
"করেছেন। এখন যে প্রতিবাদ আমরা অব্যাহত রেখেছি, সেটি মুসলমানদের ওপর নৃশংস","করেছেন। এখন যে প্রতিবাদ আমরা অব্যাহত রেখেছি, সেটি মুসলমানদের ওপর নৃশংস"
"১৬ ই এপ্রিল, ২০১২  দুপুর ১২:৩৫","১৬ ই এপ্রিল, ২০১২  দুপুর ১২:৩৫"
"০৬ ই জানুয়ারি, ২০১৮  সকাল ৮:৪০","০৬ ই জানুয়ারি, ২০১৮  সকাল ৮:৪০"
২১ মে ২০ । ১৯:১০,২১ মে ২০ । ১৯:১০
"শহিদুল আলম, সৈয়দপুর থেকে ফিরে","শহিদুল আলম, সৈয়দপুর থেকে ফিরে"
আরও পড়ুন:  সাংসদ-অভিনেত্রী মিমিকে দেখে অশ্লীল অঙ্গভঙ্গি করায় ট্যাক্সিচালক গ্রেফতার,আরও পড়ুন:  সাংসদ-অভিনেত্রী মিমিকে দেখে অশ্লীল অঙ্গভঙ্গি করায় ট্যাক্সিচালক গ্রেফতার
মাঝগ্রাম জংশন রেলওয়ে স্টেশনের অবস্থান নাটোর জেলার লালপুর উপজেলার সীমানায়।,মাঝগ্রাম জংশন রেলওয়ে স্টেশনের অবস্থান নাটোর জেলার লালপুর উপজেলার সীমানায়।
মেয়েবেলার স্মৃতিকথন - কোরবানীর ঈদের ৫ টি স্মরণীয় মুহূর্ত!,মেয়েবেলার স্মৃতিকথন - কোরবানীর ঈদের ৫ টি স্মরণীয় মুহূর্ত!
- গোটা ফল সরাসরি খাবেন না।,- গোটা ফল সরাসরি খাবেন না।
মার্ডকের মুসলমান বিরোধী টুইটের জবাবে কৌতুক অভিনেতা আজিজ আনসারি রুপার্টের দোষ নামক হ্যাশট্যাগ চালু করেছে,মার্ডকের মুসলমান বিরোধী টুইটের জবাবে কৌতুক অভিনেতা আজিজ আনসারি রুপার্টের দোষ নামক হ্যাশট্যাগ চালু করেছে
সদস্য : জামিনুর রহমান শাওন,সদস্য : জামিনুর রহমান শাওন
আরও পড়ুন:  স্যানিটাইজার-গাছ? উত্তরবঙ্গের বহু গ্রামে এই উদ্ভিদই ব্যবহৃত হচ্ছে,আরও পড়ুন:  স্যানিটাইজার-গাছ? উত্তরবঙ্গের বহু গ্রামে এই উদ্ভিদই ব্যবহৃত হচ্ছে
"আপডেট : ১২ এপ্রিল, ২০২১ ২৩:৩৭","আপডেট : ১২ এপ্রিল, ২০২১ ২৩:৩৭"
বিশ্ববিদ্যালয় ভর্তিচ্ছু ছাত্রী ৯ দিন ধরে নিখোঁজ,বিশ্ববিদ্যালয় ভর্তিচ্ছু ছাত্রী ৯ দিন ধরে নিখোঁজ
"""আচ্ছা, এবার তাহলে বিশেষ আপেক্ষিকতা তত্ত্বের দ্বিতীয় স্বীকার্যটি একটু বলুন আমাদের,"" অনুরোধ করে সারাকা।","""আচ্ছা, এবার তাহলে বিশেষ আপেক্ষিকতা তত্ত্বের দ্বিতীয় স্বীকার্যটি একটু বলুন আমাদের,"" অনুরোধ করে সারাকা।"
বেল্টু ঝিনাইদহ জেলায় জন্মগ্রহণ করেন।,বেল্টু ঝিনাইদহ জেলায় জন্মগ্রহণ করেন।
"ধোবির ছানাবড়া চোখ দুটো ছবিটার উপরেই সেঁটে রইলো। “কিন্তু এটা, এটা তো ব্যারিস্টার সাইয়িদ সেলিম!”","ধোবির ছানাবড়া চোখ দুটো ছবিটার উপরেই সেঁটে রইলো। “কিন্তু এটা, এটা তো ব্যারিস্টার সাইয়িদ সেলিম!”"
"দা দিয়ে কুপিয়ে শ্বশুর, শাশুড়ি ও স্ত্রীকে রক্তাক্ত জখম করে পালিয়ে যায় ঘাতক সুমন।","দা দিয়ে কুপিয়ে শ্বশুর, শাশুড়ি ও স্ত্রীকে রক্তাক্ত জখম করে পালিয়ে যায় ঘাতক সুমন।"
-সুমন ভাইয়া আমার একটা ছবি তুলে দেন না !!,-সুমন ভাইয়া আমার একটা ছবি তুলে দেন না !!
জেনে নিন কী এই ব্লু হোয়েল সুইসাইড গেম?,জেনে নিন কী এই ব্লু হোয়েল সুইসাইড গেম?
"খুলনা টাইগার্স বনাম কুমিল্লা ওয়ারিয়র্স। ১০ জানুয়ারি, সন্ধ্যা ৭টায়।","খুলনা টাইগার্স বনাম কুমিল্লা ওয়ারিয়র্স। ১০ জানুয়ারি, সন্ধ্যা ৭টায়।"
মনেই রাখেনি খানিকটা ঘাটতির কথা-,মনেই রাখেনি খানিকটা ঘাটতির কথা-
নাকি সেই রমণীর একাকীত্বই নেই!,নাকি সেই রমণীর একাকীত্বই নেই!
"তাহেরা জেবীন বলেন, করোনাকালে শিক্ষা, স্বাস্থ্য, নারীর উন্নয়ন, খাদ্য, জীবন জীবিকা সবক্ষেত্রেই আদিবাসীদের অবস্থা দুর্বল।","তাহেরা জেবীন বলেন, করোনাকালে শিক্ষা, স্বাস্থ্য, নারীর উন্নয়ন, খাদ্য, জীবন জীবিকা সবক্ষেত্রেই আদিবাসীদের অবস্থা দুর্বল।"
"আপডেট : ৩১ জানুয়ারি, ২০২১ ১৬:৫০","আপডেট : ৩১ জানুয়ারি, ২০২১ ১৬:৫০"
"প্রকাশিত: ১০:৩০ অপরাহ্ণ, ৭ ডিসেম্বর ২০২০","প্রকাশিত: ১০:৩০ অপরাহ্ণ, ৭ ডিসেম্বর ২০২০"
"২৬ শে নভেম্বর, ২০১৮  বিকাল ৩:২১","২৬ শে নভেম্বর, ২০১৮  বিকাল ৩:২১"
কিভাবে মাটির নমুনা নিতে হয়,কিভাবে মাটির নমুনা নিতে হয়
আটক মোরসালিন একই উপজেলার মথুরাপুর গ্রামের নূর হোসেনের ছেলে।,আটক মোরসালিন একই উপজেলার মথুরাপুর গ্রামের নূর হোসেনের ছেলে।
"একটু ভাবে, একটি বার চোখের দেখার প্রহর গোনে","একটু ভাবে, একটি বার চোখের দেখার প্রহর গোনে"
আপাতত ছবির প্রি-প্রোডাকশনের কাজ চলছে। তা শেষ হলেই শুরু হয়ে যাবে শুটিং।,আপাতত ছবির প্রি-প্রোডাকশনের কাজ চলছে। তা শেষ হলেই শুরু হয়ে যাবে শুটিং।
"আপডেট : ১২ জুলাই, ২০২১ ২২:৫৬","আপডেট : ১২ জুলাই, ২০২১ ২২:৫৬"
নাম: মোহাম্মদ মাহবুবুল হক খান।,নাম: মোহাম্মদ মাহবুবুল হক খান।
"সর্বশেষ এডিট : ২৭ শে ফেব্রুয়ারি, ২০০৯  সকাল ১১:৪১","সর্বশেষ এডিট : ২৭ শে ফেব্রুয়ারি, ২০০৯  সকাল ১১:৪১"
শ্রীনগর থেকে পহেলগাম যাওয়ার পথের প্রাকৃতিক দৃশ্য আপনাকে মুগ্ধ করবে।,শ্রীনগর থেকে পহেলগাম যাওয়ার পথের প্রাকৃতিক দৃশ্য আপনাকে মুগ্ধ করবে।
চাপের মধ্যে প্রত্যাশা পূরণ করলেন নাসির,চাপের মধ্যে প্রত্যাশা পূরণ করলেন নাসির
১৭০৯ গ্রেগরীয় বর্ষপঞ্জীর একটি সাধারণ বছর।,১৭০৯ গ্রেগরীয় বর্ষপঞ্জীর একটি সাধারণ বছর।
১৯৭১ সালের ৬ এপ্রিল আমজাদ হোসেন মৃত্যুবরণ করেন।,১৯৭১ সালের ৬ এপ্রিল আমজাদ হোসেন মৃত্যুবরণ করেন।
