Input Sentences,Output Sentences,Grammatical Error
അഹിവിത ബന്ധം ആരോപിച്ച് മൂത്രം കുടിപ്പിച്ചു; യുവാവ് ആത്മഹരത്യക്ക് ശ്രമിച്ചു,അഹിവിത ബന്ധം ആരോപിച്ച് മൂത്രം കുടിപ്പിച്ചു; യുവാവ് ആത്മഹത്യക്ക് ശ്രമിച്ചു,1
തുറന്ന പോരിന് സാധ്യത കുറവ്; പാകിസ്താൻ നിഴൽയുദ്ധം തുടർന്നേക്കും,തുറന്ന പോരിന് സാധ്യത കുറവ്; പാകിസ്താൻ നിഴൽയുദ്ധം തുടർന്നേക്കും,0
"ആർ അശ്വിൻ, ജോ റൂട്ട്, കൈൽ മെയേഴ്സ്; ആരാവും ഐസിസി പ്ലേയർ ഓഫ് ദ മന്ത്?","ആർ അശ്വിൻ, ജോ റൂട്ട്, കൈൽ മെയേഴ്സ്; ആരാവും ഐസിസി പ്ലേയർ ഓഫ് ദ മന്ത്?",0
വനിത കോളജിൽ ഏഴും മലപ്പുറം കോളജിൽ ഒന്നും അധ്യാപക തസ്തികകൾ,വനിത കോളജിൽ ഏഴും മലപ്പുറം കോളജിൽ ഒന്നും അധ്യാപക തസ്തികകൾ,0
കനയ്യ കുമാറിനെതിരെ ഒരാൾ അറസ്റ്റിൽ,കനയ്യ കുമാറിനെതിരെ വധശ്രമം: ഒരാൾ അറസ്റ്റിൽ,1
ഗബിഗ് ഡാറ്റ ഉപയോഗിച്ച് ബിസിനസ് ഇറങ്ങുക,ബിഗ് ഡാറ്റ ഉപയോഗിച്ച് ബിസിനസ് ഇറങ്ങുക,1
ഹൃദയാഘാതം; സൗദി അറേബ്യയിൽ മലയാളി മരിച്ചു,ഹൃദയാഘാതം; സൗദി അറേബ്യയിൽ മലയാളി യുവാവ് മരിച്ചു,1
അഫ്ഗാൻ പ്രതിസന്ധി അനിവാര്യമെന്ന് രാജ്യത്ത് സിഎഎ അനിവാര്യമെന്ന് ബോധ്യപ്പെടുത്തി; കേന്ദ്രമന്ത്രി ഹർദീപ് സിങ് പുരി,അഫ്ഗാൻ പ്രതിസന്ധി രാജ്യത്ത് സിഎഎ അനിവാര്യമെന്ന് ബോധ്യപ്പെടുത്തി; കേന്ദ്രമന്ത്രി ഹർദീപ് സിങ് പുരി,1
വനിതാ സംഘടന രൂപീകരിച്ചത് ഭൂരിഭാഗം ടനിമാരോടും ആലോചിക്കാതെ; നടി ലക്ഷ്മി പ്രിയ,വനിതാ സംഘടന രൂപീകരിച്ചത് ഭൂരിഭാഗം നടിമാരോടും ആലോചിക്കാതെ; നടി ലക്ഷ്മി പ്രിയ,1
ഗണേഷ് കുമാറിനെതിരായ പരാതിയെ നിസാരവത്കരിച്ച് ബാലകൃഷ്ണപ്പിള്ള,ഗണേഷ് കുമാറിനെതിരായ പരാതിയെ നിസാരവത്കരിച്ച് ബാലകൃഷ്ണപ്പിള്ള,0
അന്ന് സ്വർണം കടത്തിയത് നിങ്ങളല്ലേ--എം നിങ്ങളല്ലേ--എം സ്വരാജ്,അന്ന് സ്വർണം കടത്തിയത് നിങ്ങളല്ലേ--എം സ്വരാജ്,1
പ്രയാസം അനുഭവിക്കുന്ന നൂറു പ്രവാസികൾക്ക് വിമാന സഹായ ടിക്കറ്റ് നൽകും; യൂത്ത് കെയർ വഴി സഹായ ഹസ്തവുമായി യൂത്ത് കോൺഗ്രസ്,പ്രയാസം അനുഭവിക്കുന്ന നൂറു പ്രവാസികൾക്ക് വിമാന ടിക്കറ്റ് നൽകും; യൂത്ത് കെയർ വഴി സഹായ ഹസ്തവുമായി യൂത്ത് കോൺഗ്രസ്,1
കാസർകോടിനെ നടുക്കി രണ്ട് ഗൃഹനാഥൻമാരുടെ മരണം,കാസർകോടിനെ നടുക്കി രണ്ട് ഗൃഹനാഥൻമാരുടെ മരണം,0
കുടുംബവിളക്കിൽ നിന്നും പോയത്; അനിരുദ്ധിൽ നിന്നും ശ്രീജിത്ത് വിജയ് നേരെ എത്തിയത്!!,കുടുംബവിളക്കിൽ നിന്നും പോയത്; അനിരുദ്ധിൽ നിന്നും ശ്രീജിത്ത് വിജയ് നേരെ എത്തിയത്!!,0
ബ്ലാക്ക് ഫംഗസ് ; ബ്ലാക്ക് കേന്ദ്രത്തിന് കത്തയച്ച് സോണിയാ ഗാന്ധി,ബ്ലാക്ക് ഫംഗസ് ; കേന്ദ്രത്തിന് കത്തയച്ച് സോണിയാ ഗാന്ധി,1
മൂല്യ വർധിത നികുതിയിൽ ഇളവ് വരുത്തും,മൂല്യ വർധിത നികുതിയിൽ ഇളവ് വരുത്തും,0
ഐസ്ബെർ ലെറ്റോസ് തയ്യാറാക്കുന്നതിനുള്ള ആരോഗ്യകരമായ വഴികൾ,ഐസ്ബെർ ലെറ്റോസ് തയ്യാറാക്കുന്നതിനുള്ള ആരോഗ്യകരമായ വഴികൾ,0
ആലപ്പുഴ എപംി എ എം ആരിഫ് ആശുപത്രിയിൽ,ആലപ്പുഴ എംപി എ എം ആരിഫ് ആശുപത്രിയിൽ,1
്'തോൽക്കുംവരെ പഠിപ്പിക്കുമെന്ന് ഉറപ്പിച്ച എൻ്റെ അമ്മ': മാതൃദിനത്തിൽ മുഖ്യമന്ത്രി,'തോൽക്കുംവരെ പഠിപ്പിക്കുമെന്ന് ഉറപ്പിച്ച എൻ്റെ അമ്മ': മാതൃദിനത്തിൽ മുഖ്യമന്ത്രി,1
ഇപ്പോൾ സുഖമായി ഉറങ്ങുകയാണ് ഒരിക്കലും ഉണരാത്ത ഉറക്കം,അവരൊക്കെ ഇപ്പോൾ സുഖമായി ഉറങ്ങുകയാണ് ഒരിക്കലും ഉണരാത്ത ഉറക്കം,1
വിദ്യാഭ്യാസത്തിലൂടെയും കായിക പരിശീലനവും ജമ്മു കശ്മീരിലെ യുവാക്കൾക്ക് പുതിയ ദിശ തെളിയിക്കുമെന്ന് ഗവർണർ മനോജ് സിൻഹ,വിദ്യാഭ്യാസത്തിലൂടെയും കായിക പരിശീലനവും വഴി ജമ്മു കശ്മീരിലെ യുവാക്കൾക്ക് പുതിയ ദിശ തെളിയിക്കുമെന്ന് ഗവർണർ മനോജ് സിൻഹ,1
"എക്കൗണ്ടിൽ മിനിമം ബാലൻസ് ഇല്ലെങ്കിൽ പിഴ, തീരുമാനം പിൻവലിക്കണമെന്ന് കേന്ദ്രം","എക്കൗണ്ടിൽ മിനിമം ബാലൻസ് ഇല്ലെങ്കിൽ പിഴ, തീരുമാനം പിൻവലിക്കണമെന്ന് കേന്ദ്രം",0
ബിഗ്ബോസിൽ ഏറ്റവും പുതിയതായി എത്തിയ മത്സരാർത്ഥികളിലൊരാളാണ് എയ്ഞ്ചൽ തോമസ്,ബിഗ്ബോസിൽ ഏറ്റവും പുതിയതായി എത്തിയ മത്സരാർത്ഥികളിലൊരാളാണ് എയ്ഞ്ചൽ തോമസ്,0
നറ്റ് പരീക്ഷയ്ക്ക് നാട്ടിൽ പോകുന്നവർ പാലിക്കേണ്ട ആരോഗ്യ സുരക്ഷാ നിർദേശങ്ങളുമായി യുഎഇ,നീറ്റ് പരീക്ഷയ്ക്ക് നാട്ടിൽ പോകുന്നവർ പാലിക്കേണ്ട ആരോഗ്യ സുരക്ഷാ നിർദേശങ്ങളുമായി യുഎഇ,1
പഞ്ചായത്ത് മെമ്പർപോലും ആയിട്ടില്ല; ഗവർണർ പദവി വെല്ലുവിളി -കുമ്മനം,പഞ്ചായത്ത് മെമ്പർ പോലും ആയിട്ടില്ല; ഗവർണർ പദവി വെല്ലുവിളി -കുമ്മനം,1
നെഞ്ച് തകർക്കുന്ന കാഴ്ചയായി അവിനാശി അപകടത്തിൽ തകർന്ന ബസ്; കേരള്തിലെത്തിച്ചു,നെഞ്ച് തകർക്കുന്ന കാഴ്ചയായി അവിനാശി അപകടത്തിൽ തകർന്ന ബസ്; കേരളത്തിലെത്തിച്ചു,1
എന്നാൽ എയർടെൽ മികച്ച സ്പ്പീഡുമായി സ്പ്പീഡുമായി മുന്നിൽ,എന്നാൽ എയർടെൽ മികച്ച സ്പ്പീഡുമായി മുന്നിൽ,1
ഡിറ്റിപിസിയുടെ കയാക്കിംഗ് പരിശീലനവും ഉല്ലാസ സവാരികളും ആരംഭിക്കുന്നു,ഡിറ്റിപിസിയുടെ കയാക്കിംഗ് പരിശീലനവും ഉല്ലാസ സവാരികളും ആരംഭിക്കുന്നു,0
ജിദ്ദയിലെ സ്വകാര്യ യാർഡുകൾ വാഹന ഉടമകളെ കൊള്ളയടിക്കുന്നു,ജിദ്ദയിലെ സ്വകാര്യ യാർഡുകൾ വാഹന ഉടമകളെ കൊള്ളയടിക്കുന്നു,0
വലിയപറന്പ് കൃഷിഭവന്റെ കർഷകദിനാഘോഷത്തിന്റെ ഭാഗമായി നടന്ന ഓലമെടയൽ മത്സരം,വലിയപറന്പ് കൃഷിഭവന്റെ കർഷകദിനാഘോഷത്തിന്റെ ഭാഗമായി നടന്ന ഓലമെടയൽ മത്സരം,0
പ്രഭാത ഭക്ഷണം കഴിക്കാൻ നല്ലതാണ് എന്താണ്?,പ്രഭാത ഭക്ഷണം കഴിക്കാൻ നല്ലതാണ് എന്താണ്?,0
'ഒരു മണിക്കൂർ നേരം രാജ്യത്തിന്റെ പരമാധികാരിയായാൽ നടപ്പാക്കുക മദ്യനിരോധനം' സമ്പൂർണ്ണ,'ഒരു മണിക്കൂർ നേരം രാജ്യത്തിന്റെ പരമാധികാരിയായാൽ നടപ്പാക്കുക സമ്പൂർണ്ണ മദ്യനിരോധനം',1
റോഡൽരികിൽ ഭക്ഷണപ്പൊതികൾ വിതരണം ചെയ്തുകൊണ്ട് വിജയനും,റോഡരികിൽ ഭക്ഷണപ്പൊതികൾ വിതരണം ചെയ്തുകൊണ്ട് വിജയനും,1
വിവാഹേതര ബന്ധം തുടരാൻ നിർബന്ധിച്ച കാമുകനെ സീരിയൽ നടി തലയ്ക്കടിച്ച് കൊന്നു,വിവാഹേതര ബന്ധം തുടരാൻ നിർബന്ധിച്ച കാമുകനെ സീരിയൽ നടി തലയ്ക്കടിച്ച് കൊന്നു,0
ഷാങ്-ചി ആൻഡ് ലെജന്റ് ഓഫ് ദ ടെൻ റിംഗ്സ്: പുതിയ പോസ്റ്റർ പുറത്തിറങ്ങ,ഷാങ്-ചി ആൻഡ് ലെജന്റ് ഓഫ് ദ ടെൻ റിംഗ്സ്: പുതിയ പോസ്റ്റർ പുറത്തിറങ്ങി,1
അദ്ധ്യയന യോഗങ്ങളിൽ പങ്കെടുക്കാനും ൂഒരു ഗ്രൂപ്പ് ക്രമീകരണത്തിൽ പങ്കെടുക്കാനും അവസരം വേണം,അദ്ധ്യയന യോഗങ്ങളിൽ പങ്കെടുക്കാനും ഒരു ഗ്രൂപ്പ് ക്രമീകരണത്തിൽ പങ്കെടുക്കാനും അവസരം വേണം,1
ബൽറാമിന് മാനസിക വൈകല്യം; കോൺഗ്രസ് നിലയ്ക്ക് നിർത്തണമെന്ന് ഡിവൈഎഫ്ഐ,ബൽറാമിന് മാനസിക വൈകല്യം; കോൺഗ്രസ് നിലയ്ക്ക് നിർത്തണമെന്ന് ഡിവൈഎഫ്ഐ,0
ബാലന് പീഡനം; പ്രതിക്ക് തടവും പിഴയും,ബാലന് പീഡനം; പ്രതിക്ക് തടവും പിഴയും,0
നിങ്ങളുടെ സന്ധികൾ ദൃഢമാകുന്നത് എന്തുകൊണ്ട്?,മഞ്ഞുകാലത്ത് നിങ്ങളുടെ സന്ധികൾ ദൃഢമാകുന്നത് എന്തുകൊണ്ട്?,1
"ചെയ്ഞ്ച്; റോഡിൽ കുത്തിയിരുന്നും, കിടന്നും പ്രതിഷേധിച്ച് പ്രതിഷേധക്കാർ; പ്രവർത്തകർ അറസ്റ്റു ചെയ്ത് നീക്കി","ക്ലൈമറ്റ് ചെയ്ഞ്ച്; റോഡിൽ കുത്തിയിരുന്നും, കിടന്നും പ്രതിഷേധിച്ച് പ്രതിഷേധക്കാർ; പ്രവർത്തകർ അറസ്റ്റു ചെയ്ത് നീക്കി",1
ജിഷ്ണുക്കസേിൽ വീണ്ടും തിരിച്ചടി: രക്തത്തിൽ നിന്നും ഡിഎൻഎ സാമ്പിൾ കണ്ടെത്താനായില്ല,ജിഷ്ണുക്കേസിൽ വീണ്ടും തിരിച്ചടി: രക്തത്തിൽ നിന്നും ഡിഎൻഎ സാമ്പിൾ കണ്ടെത്താനായില്ല,1
സമാന്തരമായി പോവുന്ന ഒരു ഓഫ് ബീറ്റ് ലവ് സ്റ്റോറിയും കഥയിലുണ്ട്,സമാന്തരമായി പോവുന്ന ഒരു ഓഫ് ബീറ്റ് ലവ് സ്റ്റോറിയും കഥയിലുണ്ട്,0
അവസാന മോഹം ബാക്കിയനാക്കി നടി തൊടുപുഴ വാസന്തി വിടവാങ്ങി,അവസാന മോഹം ബാക്കിയാക്കി നടി തൊടുപുഴ വാസന്തി വിടവാങ്ങി,1
ഡാളസിൽ വെടിവെയ്പ്പിൽ മരണപ്പെട്ട സാജൻ മാത്യൂസിന്റെ പൊതുദർശനം നാളെ വകൈിട്ട്,ഡാളസിൽ വെടിവെയ്പ്പിൽ മരണപ്പെട്ട സാജൻ മാത്യൂസിന്റെ പൊതുദർശനം നാളെ വൈകിട്ട്,1
വാർദ്ധക്യ കാലത്ത് മക്കളുടെ മുന്നിൽ കൈനീട്ടേണ്ടി വരാതിരിക്കാൻ ശ്രദു്ധിക്കേണ്ട കാര്യങ്ങൾ,വാർദ്ധക്യ കാലത്ത് മക്കളുടെ മുന്നിൽ കൈനീട്ടേണ്ടി വരാതിരിക്കാൻ ശ്രദ്ധിക്കേണ്ട കാര്യങ്ങൾ,1
ബ്രസീലിനെ മറികടന്ന് ബ്രസീലിനെ ഇന്ത്യ കോവിഡ് ബാധിതരുടെ എണ്ണത്തിൽ രണ്ടാമത്,ബ്രസീലിനെ മറികടന്ന് ഇന്ത്യ കോവിഡ് ബാധിതരുടെ എണ്ണത്തിൽ രണ്ടാമത്,1
പുൽവാമ: പ്രതികരണവുമായി ചൈന; 'ആക്രമണം ഞെട്ടിക്കുന്നത്',പുൽവാമ: പ്രതികരണവുമായി ചൈന; 'ആക്രമണം ഞെട്ടിക്കുന്നത്',0
കീം പരീക്ഷ എഴകുതാൻ അകമ്പടിയായി  വന്ന രക്ഷിതാവിനു കോവിഡ്,കീം പരീക്ഷ എഴുതാൻ അകമ്പടിയായി  വന്ന രക്ഷിതാവിനു കോവിഡ്,1
ഭക്ഷണം വിളമ്പാൻ റോബോട്ടുകൾ;കണ്ണൂരിൽ പുത്തൻ സംരംഭവുമായി മണിയൻപിള്ള രാജു,ഭക്ഷണം വിളമ്പാൻ റോബോട്ടുകൾ; കണ്ണൂരിൽ പുത്തൻ സംരംഭവുമായി മണിയൻപിള്ള രാജു,1
അവയവദാന മാതൃക: ലേഖന മ്പൂതിരിയുടെ ശസ്ത്രക്രിയ വിജയകരം,അവയവദാന മാതൃക: ലേഖ നമ്പൂതിരിയുടെ ശസ്ത്രക്രിയ വിജയകരം,1
"കാരണങ്ങൾ, അതായത്, ഹോർമോൺ അസന്തുലിതാവസ്ഥ നയിക്കുന്ന അടിയന്തിര കാരണങ്ങൾ വിളിക്കുന്നു:","കാരണങ്ങൾ, അതായത്, ഹോർമോൺ അസന്തുലിതാവസ്ഥ നയിക്കുന്ന അടിയന്തിര കാരണങ്ങൾ വിളിക്കുന്നു:",0
പനിയും തൊണ്ടവേദനയുമാണ് തുടക്കത്തിലുള്ള ംരോഗ ലക്ഷണം,പനിയും തൊണ്ടവേദനയുമാണ് തുടക്കത്തിലുള്ള രോഗ ലക്ഷണം,1
ചെെന പാസാക്കിയ ദേശീയ സുരക്ഷാ നിയമത്തിൽ പ്തിഷേധിച്ച് തെരുവിലിയറിയ ഹോങ്കോങിലെ ആയിരക്കണക്കിന് ജനങ്ങൾ,ചെെന പാസാക്കിയ ദേശീയ സുരക്ഷാ നിയമത്തിൽ പ്തിഷേധിച്ച് തെരുവിലിറയിയ ഹോങ്കോങിലെ ആയിരക്കണക്കിന് ജനങ്ങൾ,1
കരിപ്പൂർ എയർപോർട്ടിൽ ജോലി വാഗ്ദാനം ചെയ്ത് തട്ടിപ്പ്,കരിപ്പൂർ എയർപോർട്ടിൽ ജോലി വാഗ്ദാനം ചെയ്ത് തട്ടിപ്പ്,0
ചീഫ് ജസ്റ്റിസിനെതിരായ വിമർശനം: മോദി റിപ്പോർട്ട് ആവശ്യപ്പെട്ടു,ചീഫ് ജസ്റ്റിസിനെതിരായ വിമർശനം: മോദി റിപ്പോർട്ട് ആവശ്യപ്പെട്ടു,0
കൊവിഡ് കർഫ്യൂ ലംഘിച്ചു; രോഗബാധിതനായ കുഞ്ഞിനെയും കൊണ്ട് ആശുപത്രിയിലേക്കോടിയ പിതാവിനെതിരെ കേസ്,കൊവിഡ് കർഫ്യൂ ലംഘിച്ചു; രോഗബാധിതനായ കുഞ്ഞിനെയും കൊണ്ട് ആശുപത്രിയിലേക്കോടിയ പിതാവിനെതിരെ കേസ്,0
സാമൂഹിക മാധ്യമങ്ങളിൽ ഉൾപ്പെടെ പ്രചരിക്കുന്ന വ്യാജ വാർത്തകളുടെ നിജസ്ഥിതി വെളിപ്പെടുത്തി സൗദി: വ്യാജ വാർത്തയുടെ കെണിയിൽ അകപ്പെടുന്നത് സാധാരണകാർ,സാമൂഹിക മാധ്യമങ്ങളിൽ ഉൾപ്പെടെ പ്രചരിക്കുന്ന വ്യാജ വാർത്തകളുടെ നിജസ്ഥിതി വെളിപ്പെടുത്തി സൗദി: വ്യാജ വാർത്തയുടെ കെണിയിൽ അകപ്പെടുന്നത് സാധാരണകാർ,0
നിഗെല്ല കിഴക്ക് - ചെറിയ പൂക്കൾഉ ണ്ട്;,നിഗെല്ല കിഴക്ക് - ചെറിയ പൂക്കൾ ഉണ്ട്;,1
"പ്രധാനമന്ത്രിയുടെ പ്രത്യേക സന്ദേശങ്ങളടങ്ങിയ ടീ ഷർട്ടുകൾ, പേന, മാസ്കുക, ബാഡ്ജ് എന്നിവ ഇതു വഴി വിൽപ്പന നടത്തുന്നുണ്ട്","പ്രധാനമന്ത്രിയുടെ പ്രത്യേക സന്ദേശങ്ങളടങ്ങിയ ടീ ഷർട്ടുകൾ, പേന, മാസ്കുകൾ, ബാഡ്ജ് എന്നിവ ഇതു വഴി വിൽപ്പന നടത്തുന്നുണ്ട്",1
റെയിൽവേ സ്റ്റഷനിൽ പതിനാലുകാരിയെ ഭീഷണിപ്പെടുത്തി പീഡിപ്പിച്ചു; പ്രതി അറസ്റ്റിൽ,റെയിൽവേ സ്റ്റേഷനിൽ പതിനാലുകാരിയെ ഭീഷണിപ്പെടുത്തി പീഡിപ്പിച്ചു; പ്രതി അറസ്റ്റിൽ,1
കോടി ക്ലബ്ബിൽ കയറിപ്പറ്റുന്നതാണ് വലിയ ചിലർ വിശ്വസിക്കുന്നു !!!,കോടി ക്ലബ്ബിൽ കയറിപ്പറ്റുന്നതാണ് വലിയ കാര്യമെന്ന് ചിലർ വിശ്വസിക്കുന്നു !!!,1
ജില്ലാ വനിതാ ശിശുിവകസന ഓഫീസിന്റെയും മഹിളാശക്തി,ജില്ലാ വനിതാ ശിശുവികസന ഓഫീസിന്റെയും മഹിളാശക്തി,1
ബാബരി മസ്ജിദ് നിന്ന സ്ഥലം ലോകാവസാനം വരെ മസ്ജിദ് തന്നെയായിരിക്കും എന്ന കാര്യം നാം വിസ്മരിക്കരുത്,ബാബരി മസ്ജിദ് നിന്ന സ്ഥലം ലോകാവസാനം വരെ മസ്ജിദ് തന്നെയായിരിക്കും എന്ന കാര്യം നാം വിസ്മരിക്കരുത്,0
സമാധാനം നിലനിർത്താനുള്ള ഒമാന്റെ ഇടപെടലുകൾ ശ്ലാഘനീയ ം- ഇന്ത്യൻ ഗ്രാൻഡ് മുഫ്തി,സമാധാനം നിലനിർത്താനുള്ള ഒമാന്റെ ഇടപെടലുകൾ ശ്ലാഘനീയം - ഇന്ത്യൻ ഗ്രാൻഡ് മുഫ്തി,1
കേരളത്തിൽ വീണ്ടും കോവിഡ് മരണം; ദുബായിൽനിന്നെത്തിയ പ്രവാസി മരിച്ചു,കേരളത്തിൽ വീണ്ടും കോവിഡ് മരണം; ദുബായിൽനിന്നെത്തിയ പ്രവാസി മരിച്ചു,0
രാജ്യസഭാ തെരഞ്ഞെടുപ്പ്: കേരളാ കോൺഗ്രസ് എം വിട്ടുനിൽക്കും,രാജ്യസഭാ തെരഞ്ഞെടുപ്പ്: കേരളാ കോൺഗ്രസ് എം വിട്ടുനിൽക്കും,0
"ജാനറ്റ് എന്ന പാവക്കുട്ടി, ദേവുക്കുട്ടിയോട്","ജാനറ്റ് എന്ന പാവക്കുട്ടി, ദേവുക്കുട്ടിയോട് പിണങ്ങിപ്പോയതാവുമോ!",1
റവന്യൂ മന്ത്രിയോട് സഹതാപം തോന്നുന്നു ചെന്നിത്തല,റവന്യൂ മന്ത്രിയോട് സഹതാപം തോന്നുന്നു: ചെന്നിത്തല,1
അടിവസ്ത്രത്തിനുള്ള വൈറ്റ് വൈറ്റ് പോളിയൂറാത്തൻ സ്റ്റെയിന്റ്,അടിവസ്ത്രത്തിനുള്ള വൈറ്റ് വൈറ്റ് പോളിയൂറാത്തൻ സ്റ്റെയിന്റ്,0
കട തുറന്ന് വ്യാപാരികൾ; അടപ്പിക്കാനെത്തിയ പൊലീസിനെതിരെ പ്രതിഷേധം,കട തുറന്ന് വ്യാപാരികൾ; അടപ്പിക്കാനെത്തിയ പൊലീസിനെതിരെ പ്രതിഷേധം,0
നടിയെ തട്ടിക്കൊണ്ട് അർദ്ധരാത്രി? പോയത് ഇന്നലെ പൾസർ സുനിയുമായി പൊലീസ് സഞ്ചരിച്ചതും അർദ്ധരാത്രി!,നടിയെ തട്ടിക്കൊണ്ട് പോയത് അർദ്ധരാത്രി? ഇന്നലെ പൾസർ സുനിയുമായി പൊലീസ് സഞ്ചരിച്ചതും അർദ്ധരാത്രി!,1
യുഡിഎഫ് നേതാക്കൾക്കെതിരെ അന്വേഷണം: വിജിലൻസ് മേഫധാവിയെ വിളിപ്പിച്ച് ഗവർണർ,യുഡിഎഫ് നേതാക്കൾക്കെതിരെ അന്വേഷണം: വിജിലൻസ് മേധാവിയെ വിളിപ്പിച്ച് ഗവർണർ,1
സാധാരണക്കാരുടെ പെൻഷൻ പോലും തട്ടിയെടുത്ത് പഞ്ചായത്ത് ജീവനക്കാർ; തട്ടിയെടുത്ത പെൻഷൻ ജീവനക്കാർക്കു തടവും പിഴയും ശിക്ഷ,സാധാരണക്കാരുടെ പെൻഷൻ പോലും തട്ടിയെടുത്ത് പഞ്ചായത്ത് ജീവനക്കാർ; പെൻഷൻ തട്ടിയെടുത്ത ജീവനക്കാർക്കു തടവും പിഴയും ശിക്ഷ,1
അതിനിടെ രാഹുൽ ഈശ്വർ കോയമ്പത്തൂർ സ്ഫോടനക്കേസിലെ പ്രതിയും പിഡിപി നേതാവുമായ അബ്ദുൾ നാസർ മദനിയുമായി കൂടിക്കാഴ്ച നടത്തിയതിന്റ്െ ചിത്രങ്ങൾ പുറത്തുവന്നിരുന്നു,അതിനിടെ രാഹുൽ ഈശ്വർ കോയമ്പത്തൂർ സ്ഫോടനക്കേസിലെ പ്രതിയും പിഡിപി നേതാവുമായ അബ്ദുൾ നാസർ മദനിയുമായി കൂടിക്കാഴ്ച നടത്തിയതിന്റെ ചിത്രങ്ങൾ പുറത്തുവന്നിരുന്നു,1
