Input Sentences,Output Sentences
निसान का चार वर्षीय का ऐलान,निसान का चार वर्षीय योजना का ऐलान
बीएयू ने छात्रों को लदिया था हॉस्टल खाली करने का निर्देश,बीएयू ने छात्रों को दिया था हॉस्टल खाली करने का निर्देश
एक शाम शहीदों के में देशप्रेम की झलक,एक शाम शहीदों के नाम में देशप्रेम की झलक
सौर ऊर्जा प्लांट लगाए पर किसान को नौकरी नहीं दी,सौर ऊर्जा प्लांट लगाए पर किसान को नौकरी नहीं दी
नवजात बच्चों पर रहती है,नवजात बच्चों पर रहती है नजर
लोकसभा अध्यक्ष के तेवर देखकर सक्रिय हुआ रेल सक्रिय मंत्रालय!,लोकसभा अध्यक्ष के तेवर देखकर सक्रिय हुआ रेल मंत्रालय!
नई इंडस्सट्री के लिए ऑफर,नई इंडस्ट्री के लिए ऑफर
आरबीआई े कहा: देश में कैश की कोई कमी नहीं,आरबीआई ने कहा: देश में कैश की कोई कमी नहीं
राहुल पर भी साधाा जफर ने निशाना,राहुल पर भी साधा जफर ने निशाना
डीडीए जनता को सुविधा प्रदान करे: कमिश्नर रौतेला,डीडीए जनता को सुविधा प्रदान करे: कमिश्नर रौतेला
- ब्रांड कानपुर में बॉलीवुड कलाकारों की धमाकेदार परफॉर्मेस ने जीता सबका दिल,- ब्रांड कानपुर में बॉलीवुड कलाकारों की धमाकेदार परफॉर्मेस ने जीता सबका दिल
"अंबेडकर प्रतिमा तोड़े जाने से तनाव, बसपाइयों ने की नाेबाजी, फोर्स लगी","अंबेडकर प्रतिमा तोड़े जाने से तनाव, बसपाइयों ने की नारेबाजी, फोर्स लगी"
बड़ी संख्या में टैनिन के कारण पाचन तंत्र के काम को मजबूत करता है;,बड़ी संख्या में टैनिन के कारण पाचन तंत्र के काम को मजबूत करता है;
त्योहार शुरू होते ही ट्रैफिक व्यवस्था धड़ाम जाम से व्यवस्था जूझे लोग,त्योहार शुरू होते ही ट्रैफिक व्यवस्था धड़ाम जाम से जूझे लोग
"संघर्ष-विराम का उल्लंघन करते हुए हमास ने दागे राकेट, इस्राइली सेना हमले को तैयार","संघर्ष-विराम का उल्लंघन करते हुए हमास ने दागे राकेट, इस्राइली सेना हमले को तैयार"
नहीं दिया गया पत्र सूचना,नहीं दिया गया सूचना पत्र
और मुस्कुराती रातं को कब से सोच रहा हूँ,और मुस्कुराती रातों को कब से सोच रहा हूँ
ख़ुशी ख़ुशी की तैयारी पिकनिक पर जाने की।,ख़ुशी ख़ुशी की तैयारी पिकनिक पर जाने की।
सवाल - निम्नलिखित में से कौन सा एक इलेक्ट्रॉनिक उपकरण में सोशल साइट नहीं है?,सवाल - निम्नलिखित में से कौन सा एक इलेक्ट्रॉनिक उपकरण में सोशल साइट नहीं है?
"देर से पहुंची पुलिस, बोर्ड ने खदेड़ा","देर से पहुंची पुलिस, बोर्ड ने खदेड़ा"
अलीगढ़ : एएमयू में जल्द शुरू हो सकता हैसामुदायिक रेडियो,अलीगढ़ : एएमयू में जल्द शुरू हो सकता है सामुदायिक रेडियो
-अब तक उपलब्ध नहीं करायी जा सकीं पाठज्य पुस्तकें,-अब तक उपलब्ध नहीं करायी जा सकीं पाठ्य पुस्तकें
बनबसा में पालीथिन रखने पर का सात चालान,बनबसा में पालीथिन रखने पर सात का चालान
"आगर-मालवा से नहीं, इंदौर-भोपाल और और ग्वालियर से मुख्य परीक्षा में बैठे थे उम्मीदवार","आगर-मालवा से नहीं, इंदौर-भोपाल और ग्वालियर से मुख्य परीक्षा में बैठे थे उम्मीदवार"
जेएनयू विवाद के खिलाफ वासेपुर से निकला कैंडल कैंडल मार्च,जेएनयू विवाद के खिलाफ वासेपुर से निकला कैंडल मार्च
महाराष्ट्र की हालत को सुधारने लाना के लिए कांग्रेस की सरकार लाना जरूरी : राहुल गांधी,महाराष्ट्र की हालत को सुधारने के लिए कांग्रेस की सरकार लाना जरूरी : राहुल गांधी
"रिश्तों में बनी रहे मिठास अपनों के संग,","रिश्तों में बनी रहे मिठास अपनों के संग,"
देवी दुर्गा का यह रूप ीह हैं छठी मैया,देवी दुर्गा का यह रूप ही हैं छठी मैया
केरल : सबरीमला मंदिर रहीं दो अन्य महिलाओं को भी लौटना पड़ा,केरल : सबरीमला मंदिर जा रहीं दो अन्य महिलाओं को भी लौटना पड़ा
विरोध में लगाए मकान हैं के बैनर,विरोध में लगाए मकान बिकाऊ हैं के बैनर
बिहार में एक एनजीओ के स्कूल रप देशद्रोह का मुकदमा,बिहार में एक एनजीओ के स्कूल पर देशद्रोह का मुकदमा
मनु पंजाबी ने शो छोड़ा,मनु पंजाबी ने छोड़ा शो
जागरण रोहतक संवाददाता जिला पुलिस ने अलग-अलग स्थानों पर छापेमारी करते हुए छह आरोपितो,जागरण संवाददाता रोहतक जिला पुलिस ने अलग-अलग स्थानों पर छापेमारी करते हुए छह आरोपितो
दैनिक भास्कर हिंदी: ने सरकार किया नीरव मोदी की प्रोविजनल गिरफ्तारी का अनुरोध,दैनिक भास्कर हिंदी: सरकार ने किया नीरव मोदी की प्रोविजनल गिरफ्तारी का अनुरोध
संवाद सहयोगी रिकांगपिओ जिला किन्नौर में जिला परिषद सदस्य समिति पंचायत सदस्य प्रधान उपप्रधान व,संवाद सहयोगी रिकांगपिओ जिला किन्नौर में जिला परिषद सदस्य पंचायत समिति सदस्य प्रधान उपप्रधान व
महिला दिवस के मौके पर पंजाब रसकार ने दिया यह ख़ास तोहफा,महिला दिवस के मौके पर पंजाब सरकार ने दिया यह ख़ास तोहफा
एक हजार संदर्भ पुस्तकों उल्लेख का,एक हजार संदर्भ पुस्तकों का उल्लेख
चुनाव जीतने वाले विधायकों कारिपोर्ट कार्ड होगा तैयार,चुनाव जीतने वाले विधायकों का रिपोर्ट कार्ड होगा तैयार
ये रही निर्विरोध निर्वाचित कार्यसमिति सदस्यों की सूची,ये रही निर्विरोध निर्वाचित कार्यसमिति सदस्यों की सूची
कोरोना निकाली समाजसेवी स्कूलों की हवा!,कोरोना ने निकाली समाजसेवी स्कूलों की हवा!
बिना पॉश मशीन के राशन वितरण कराने मांग की,बिना पॉश मशीन के राशन वितरण कराने की मांग
इस जरा सी लालटेन से नहीं मिटेगा,इस जरा सी लालटेन से नहीं मिटेगा
सरकार राज्य कैंप लगाने पर अड़ी हुई है,राज्य सरकार कैंप लगाने पर अड़ी हुई है
बाहर से बनेंगे आने वालों के नहीं बनेंगे पास,बाहर से आने वालों के नहीं बनेंगे पास
झंडा  फहराए जाने के वक़्त लाल चौक पर आपके साथ कौन-कौन लोग मौजूद थे?,झंडा फहराए जाने के वक़्त लाल चौक पर आपके साथ कौन-कौन लोग मौजूद थे?
गल्फ के वॉर समय इतने भारतीय लाए गए थे वापस,गल्फ वॉर के समय इतने भारतीय लाए गए थे वापस
"मुंबई में भारी बारिश, इंदौर-पुणे सहित भारी चार ट्रेनें निरस्त","मुंबई में भारी बारिश, इंदौर-पुणे सहित चार ट्रेनें निरस्त"
की मां परछाई होती है बेटियां।,मां की परछाई होती है बेटियां।
जानें देश-दुनिया का ताजा हाल,जानें देश-दुनिया का ताजा हाल
"दैनिक भास्कर हिंदी: जबलपुर के समीप चलती ट्रेन में महिला से दुष्कर्म, आरोपी","दैनिक भास्कर हिंदी: जबलपुर के समीप चलती ट्रेन में महिला से दुष्कर्म, आरोपी गिरफ्तार"
बताएंगे क्लास में पढ़ाने की तकनी,बताएंगे क्लास में पढ़ाने की तकनीक
हाथरस के जिलाधिकारी बर्खास्त हों : प्रयिंका,हाथरस के जिलाधिकारी बर्खास्त हों : प्रियंका
इस निमय से फाइनल में पहुंची भारतीय टीम,इस नियम से फाइनल में पहुंची भारतीय टीम
रिपब्लिरक देखने से खराब हो सकती हैं हमारी आंखें:,रिपब्लिक देखने से खराब हो सकती हैं हमारी आंखें:
अरविंद केजरीवाल अपने को थप थप,अरविंद केजरीवाल अपने को थप
ममून अहमद की का स्क्रीनशॉट,ममून अहमद की बातचीत का स्क्रीनशॉट
"कुंरडी से लटकती मिली ट्रक ड्राइवर की लाश, सनसनी","कुंडी से लटकती मिली ट्रक ड्राइवर की लाश, सनसनी"
शपथ लेने जा रही महिला प्रधान को हिारसत में लिया,शपथ लेने जा रही महिला प्रधान को हिरासत में लिया
"पूरा बिहार होगा लोजपामय, मुझे पूरा विश्वास : चिारग","पूरा बिहार होगा लोजपामय, मुझे पूरा विश्वास : चिराग"
"प्रिया प्रकाश के लिपलॉक वीडियो ने मचाई सनसनी, इस वैलेंटाइन डे पर रिलीज होगी फिल्म","प्रिया प्रकाश के लिपलॉक वीडियो ने मचाई सनसनी, इस वैलेंटाइन डे पर रिलीज होगी फिल्म"
"हत्या के तीनों आीरोपी रिमाण्ड पर, नौ जनों की भूमिका की जांच","हत्या के तीनों आरोपी रिमाण्ड पर, नौ जनों की भूमिका की जांच"
नाइट सर्विस  की नहीं लगती ब्रेक,नाइट सर्विस की नहीं लगती ब्रेक
एनएच नवनिरम्ाण में वन भूमि का पेंच,एनएच नवनिर्माण में वन भूमि का पेंच
"मुगलई शाही टाुकड़ा, राजस्थानी थाली को हाथों में लेकर की रैंप वॉक","मुगलई शाही टुकड़ा, राजस्थानी थाली को हाथों में लेकर की रैंप वॉक"
रियल एस्टेट और ऑटो सेक्टर जोखिम पर ज्यादा,रियल एस्टेट और ऑटो सेक्टर पर जोखिम ज्यादा
"स्टूडेंट : जब तक लिखित में जवाब नहीं मिलेगा, क्लास अटेंड नहीं करेंगे","स्टूडेंट : जब तक लिखित में जवाब नहीं मिलेगा, क्लास अटेंड नहीं करेंगे"
भारत की तुलना से पाकिस्तान क्यों करते हैं मोदी: ममता,भारत की तुलना पाकिस्तान से क्यों करते हैं मोदी: ममता
काला जठेड़ी से पहले इन बड़े गैंगस्टरों की गर्लफ्रेंड रह चुकी है लेडी गैंगस्टर पहले अनुराधा,काला जठेड़ी से पहले इन बड़े गैंगस्टरों की गर्लफ्रेंड रह चुकी है लेडी गैंगस्टर अनुराधा
पाकृतिक सौंदर्य को निखारकर पर्यटन को बढ़ावा देने सराहनीय पहल देने गृह मंत्री पैकरा,पाकृतिक सौंदर्य को निखारकर पर्यटन को बढ़ावा देने सराहनीय पहल गृह मंत्री पैकरा
दारोगा ने हटा दीथ ीं गंभीर धाराएं,दारोगा ने हटा दी थीं गंभीर धाराएं
हिंदी न्यूज़ बिहार बिहारशरीफ नालंदा के सरमेरा में हटायाग या अतिक्रमण,हिंदी न्यूज़ बिहार बिहारशरीफ नालंदा के सरमेरा में हटाया गया अतिक्रमण
खिड़किया घाट पर निर्माण कार्य तेजी हो से रहा है।,खिड़किया घाट पर निर्माण कार्य तेजी से हो रहा है।
म्ांमार में प्रदर्शनकारियों और रेडक्रॉस वाहनों पर सेना की कार्यवाही,म्यांमार में प्रदर्शनकारियों और रेडक्रॉस वाहनों पर सेना की कार्यवाही
हिंदी न्यूज़ उत्तराखंड नैनीताल राणा बने हिजामं के प्रांत प्रचार प्रमुयख,हिंदी न्यूज़ उत्तराखंड नैनीताल राणा बने हिजामं के प्रांत प्रचार प्रमुख
"नियुक्ति: आईएएस संजीव कौशल बने हरियाणा के नए सचिव, मुख्य सचिव, विजय वर्धन की लेंगे जगह","नियुक्ति: आईएएस संजीव कौशल बने हरियाणा के नए मुख्य सचिव, विजय वर्धन की लेंगे जगह"
ख्वाहिशों मेलं रह गया  नर्मदा का रिवर स्कूल,ख्वाहिशों में रह गया  नर्मदा का रिवर स्कूल
आउडसाइडर क तरह ऑडिशन देने के लिए तैयार हूं: सारा अली खान,आउडसाइडर की तरह ऑडिशन देने के लिए तैयार हूं: सारा अली खान
हिंदी न्यूज़ झारखंड जमशेदपुर भुइयांडीह में झामुमो नेता पर जानलेवा हमला,हिंदी न्यूज़ झारखंड जमशेदपुर भुइयांडीह में झामुमो नेता पर जानलेवा हमला
हिंदी न्यूज़ मोतिहारी बिहार अधिक कमाई के लिए मानक के साथ होती छेड़छाड़,हिंदी न्यूज़ बिहार मोतिहारी अधिक कमाई के लिए मानक के साथ होती छेड़छाड़
- खाद्य आपूर्त विभाग ने गैस एजेंसियों को भेजा लेटर,- खाद्य आपूर्ति विभाग ने गैस एजेंसियों को भेजा लेटर
दुनियाभर के क्रिकेटप्रेमियों में सिसांडा का नो बॉल रोग चर्चा का विषय बन गयिा है।,दुनियाभर के क्रिकेटप्रेमियों में सिसांडा का नो बॉल रोग चर्चा का विषय बन गया है।
"ये वोटर है, सब जानता है","ये वोटर है, सब जानता है"
कई केस आते हैं निराकरण होता है,कई केस आते हैं जिनका निराकरण होता है
जब बीच मैच में ज़हीर खान को लड़की ने कियाप्रोपोज़,जब बीच मैच में ज़हीर खान को लड़की ने किया प्रोपोज़
"छात्रसंघ पदाधिकारियों ने जाम पुलिस लगाया, से तकरार","छात्रसंघ पदाधिकारियों ने जाम लगाया, पुलिस से तकरार"
किसी भी प्रकार की परियोजनाओं स्कीमों और के लिए आधारशिला नहीं रख सकेंगे।,किसी भी प्रकार की परियोजनाओं और स्कीमों के लिए आधारशिला नहीं रख सकेंगे।
ये रहीं सोने व चांी की कीमत,ये रहीं सोने व चांदी की कीमत
'चरमपथियों का कोई मज़हब नहीं होता','चरमपंथियों का कोई मज़हब नहीं होता'
- आरपीएफ एक्शन के के बावजूद दोबारा बस गई डेयरियां,- आरपीएफ के एक्शन के बावजूद दोबारा बस गई डेयरियां
राजनाथ सिंह ने गोवा के मुख्यमंत्ी से श्रीपद नाइक की स्थिति की जानकारी ली,राजनाथ सिंह ने गोवा के मुख्यमंत्री से श्रीपद नाइक की स्थिति की जानकारी ली
"आज जारी होंगे ग्रोथ रेट के आंकड़े, कोरोना का दिखेगा प्रभाव","आज जारी होंगे जीडीपी ग्रोथ रेट के आंकड़े, कोरोना का दिखेगा प्रभाव"
"घर से बाहर निकेलं तो ये सावधानियां जरूर बरतें लड़कियां और महिलाएं, देखिए","घर से बाहर निकलें तो ये सावधानियां जरूर बरतें लड़कियां और महिलाएं, देखिए"
- सड़क सुरक्षा की बैठक में डीआईजी ने आरटीओ को लगाई फटकार,- सड़क सुरक्षा समिति की बैठक में डीआईजी ने आरटीओ को लगाई फटकार
एक्ट्रेस रेखा राणा की छुट्टियो की देखिए खूबसूरत तस्वीरें,एक्ट्रेस रेखा राणा की छुट्टियों की देखिए खूबसूरत तस्वीरें
- दोनों पक्षों के बीच चलती रही सुलह वार्ता,- दोनों पक्षों के बीच चलती रही सुलह वार्ता
सोशल नेटवर्किग साइट पर पूनम पांडे करेगी अपने हीरो की तलाश,सोशल नेटवर्किग साइट पर पूनम पांडे करेगी अपने हीरो की तलाश
हिंदी न्यूज़ बिहार समस्तीपुर पांडेय उमा कॉलेज में आज नहीं होगा मतदान,हिंदी न्यूज़ बिहार समस्तीपुर उमा पांडेय कॉलेज में आज नहीं होगा मतदान
ग्रे लिस्ट में बरकरार रह सकता है पािस्तान,ग्रे लिस्ट में बरकरार रह सकता है पाकिस्तान
लिविंग के रूम लिए कॉफी टेबल,लिविंग रूम के लिए कॉफी टेबल
सोशल मीडिया पर बधाई का तांता ,सोशल मीडिया पर बधाई का तांता :
"ओम प्रकाश तिवारी, पुरानी बस","ओम प्रकाश तिवारी, पुरानी बस स्टैंड"
की सीएसआईआर भी महत्वपूर्ण भूमिका,सीएसआईआर की भी महत्वपूर्ण भूमिका
"दिवाली से पहले खुशखबरी! सिर्फ एक रुपए में करें सोने की खरीदी, जानें कैसे","दिवाली से पहले खुशखबरी! सिर्फ एक रुपए में करें सोने की खरीदी, जानें कैसे"
"कौन कितनी जगह, किसके सामने","कौन कितनी जगह, किसके सामने"
बगावत से उबरे भारतीय टेनिस के लिए मिला जुला रहा बीता साल,बगावत से उबरे भारतीय टेनिस के लिए मिला जुला रहा बीता साल
मंडी की ओर से अभी रेट तय नहीं,मंडी की ओर से अभी रेट तय नहीं
फेमस रैपर हनी सिंह भी लंबे समय समय के बाद आए नजर,फेमस रैपर हनी सिंह भी लंबे समय समय के बाद आए नजर
प्रोफेशन कोर्स में मेडिकल की प्राथमिक पढ़ाई को शामिल कर रहा शामिल यूपी बोर्ड,प्रोफेशन कोर्स में मेडिकल की प्राथमिक पढ़ाई को शामिल कर रहा यूपी बोर्ड
"हिंदी न्यूज़ मुजफ्फरपुर बिहार तापमान में होगी गिरावट, पछिया से बढ़ेगी ठंड","हिंदी न्यूज़ बिहार मुजफ्फरपुर तापमान में होगी गिरावट, पछिया से बढ़ेगी ठंड"
"पीलीभीत में नशे में बहके बाराती, नाराज दुल्हन ने वापसलौटाई बारात","पीलीभीत में नशे में बहके बाराती, नाराज दुल्हन ने वापस लौटाई बारात"
कोरोना वॉरियर का किया सम्मान सम्मान,कोरोना वॉरियर का किया सम्मान
यहां करा सकते हैं बिल ज मा,यहां करा सकते हैं बिल जमा
मोका से में नसों की सूजन का इलाज,मोका से पैर में नसों की सूजन का इलाज
"तेजी बढ़ रहे हैं 'कोरोना केस', अब लापरवाही पड़ेगी भारी, संभलने की है जरूरत","तेजी से बढ़ रहे हैं 'कोरोना केस', अब लापरवाही पड़ेगी भारी, संभलने की है जरूरत"
के डर से बेखौफ होकर अवैध लकड़ियों की तस्करी,ानून के डर से बेखौफ होकर अवैध लकड़ियों की तस्करी
अर्धशतक पूरा कर कर नाबाद हैं लाबुशेन,अर्धशतक पूरा कर नाबाद हैं लाबुशेन
यह फल रोज खाने से विटामिन सी की मात्रा बढेगी और मधुमेह ही होगा।,यह फल रोज खाने से विटामिन सी की मात्रा बढेगी और मधुमेह सही होगा।
"तब भगवान विष्णु ने रखा था यह व्रत, तब वापस मिलीं लक्ष्मी","भगवान विष्णु ने रखा था यह व्रत, तब वापस मिलीं लक्ष्मी"
चेल्सिया के दिग्गज खिलाडी को भी कोरोना वायरस,चेल्सिया के दिग्गज खिलाड़ी को भी कोरोना वायरस
हिंदी न्यूज़ झारखंड धनबाद पारनाथ मुठभेड़ में जख्मी नक्सली की मौत!,हिंदी न्यूज़ झारखंड धनबाद पारसनाथ मुठभेड़ में जख्मी नक्सली की मौत!
- पतिा के नाम का कॉलम खाली न छोड़ें,- पिता के नाम का कॉलम खाली न छोड़ें
हिंदी न्यूज़ झारखंड धनबाद आज नहीं आएगी पुरुषोत्तम एक्सप्रेस,हिंदी न्यूज़ झारखंड धनबाद आज नहीं आएगी पुरुषोत्तम एक्सप्रेस
अर्दवान को महदी की अवधारणा फ़ायदा,अर्दवान को महदी की अवधारणा का फ़ायदा
"इंदौर में चना कांटा, तुअर, उड़द के भाव में तेजी","इंदौर में चना कांटा, मसूर, तुअर, उड़द के भाव में तेजी"
कांग्रेस ने टाटा वर्कर्स यूनियन पदाधिकारियों कगा किया सम्मान,कांग्रेस ने टाटा वर्कर्स यूनियन पदाधिकारियों का किया सम्मान
हारकर भी हार नहीं माने उसका नाम है मुन्ना भैया,हारकर भी हार नहीं माने उसका नाम है मुन्ना भैया
कैरेबियन देश भारतीाय अमीरों की पहली पंसद,कैरेबियन देश भारतीय अमीरों की पहली पंसद
आंकड़े सफेद से प्राप्त होते हैं श्वेतार्क गणेश,सफेद आंकड़े से प्राप्त होते हैं श्वेतार्क गणेश
हमीरपुर डिग्री कालज में होली पर थप्पड़ की गूंज,हमीरपुर डिग्री कालेज में होली पर थप्पड़ की गूंज
"छोटे व्यापारियों को ड़ी राहत, अब टर्न ओवर के आधार पर टैक्स देने की सुविधा","छोटे व्यापारियों को बड़ी राहत, अब टर्न ओवर के आधार पर टैक्स देने की सुविधा"
