Input Sentences,Output Sentences,Grammatical Error
"इसरो ने नहीं छोड़ी उम्मीद, लैंडर विक्रम से संपर्क साधने की लगातार कोशिश जारी","इसरो ने नहीं छोड़ी उम्मीद, लैंडर विक्रम से संपर्क साधने की लगातार कोशिश जारी",0
"- में कार्ड होल्डर के साथ एक परिजन की एंट्री, फ्रेंड्स की एंट्री बंद","- कैंटीन में कार्ड होल्डर के साथ एक परिजन की एंट्री, फ्रेंड्स की एंट्री बंद",1
-शासन ने जिला प्रशासन को स्कूल खोलने को लेकर जारी की ाइडलाइन,-शासन ने जिला प्रशासन को स्कूल खोलने को लेकर जारी की गाइडलाइन,1
"हादास----बाइकों की भिड़ंत में तीन घायल, दो गंभीर","हादसा----बाइकों की भिड़ंत में तीन घायल, दो गंभीर",1
यू-ट्यूब पर भी ले रहे क्लास,यू-ट्यूब पर भी ले रहे क्लास,0
निगम की बस सगझ निजी में कर रहे सफर,निगम की बस सगझ निजी में कर रहे सफर,0
आडवाणी की धमकी पर रुकी थी सीएम पद से मोदी की बर्खास्तगी: यशवंत सिन्हा,आडवाणी की धमकी पर रुकी थी सीएम पद से मोदी की बर्खास्तगी: यशवंत सिन्हा,0
एम्स अब दिल्ली एम्स में होगा एनएल नड्डा का इलाज,अब दिल्ली एम्स में होगा एनएल नड्डा का इलाज,1
आय का स्रोत ना पर बता पाने पर भारी टैक्स,आय का स्रोत ना बता पाने पर भारी टैक्स,1
कंपनी के बारे में जानकारी लें -,कंपनी के बारे में जानकारी लें -,0
हिंदी न्यूज़ उत्तर प्रदेश लखीमपुरखीरी बाघ का शिकार करने ेक आरोपियों की जमानत अर्जी खारिज,हिंदी न्यूज़ उत्तर प्रदेश लखीमपुरखीरी बाघ का शिकार करने के आरोपियों की जमानत अर्जी खारिज,1
- विधायक के नेतृत्व में से एसएसपी मिले पीडि़त,- विधायक के नेतृत्व में एसएसपी से मिले पीडि़त,1
आचार्य परमोद कृष्णन ने कहा- जा सकती है मेरी जान-,आचार्य प्रमोद कृष्णन ने कहा- जा सकती है मेरी जान-,1
गुरुआ में भाकपा माओवाी की बंदी का नही दिखा असर,गुरुआ में भाकपा माओवादी की बंदी का नही दिखा असर,1
सोशल मीडिया पर दोस्ती फिर और ब्लैकमेलिंग,सोशल मीडिया पर दोस्ती और फिर ब्लैकमेलिंग,1
जरूत के सामान का संग्रह ना करें,जरूरत के सामान का संग्रह ना करें,1
कुछ इस तरह लड़ी जा कुछ रही कोरोना से जंग,कुछ इस तरह लड़ी जा रही कोरोना से जंग,1
एडीज ी मेरठ जोन प्रशांत कुमार ने दी जानकारी,एडीजी मेरठ जोन प्रशांत कुमार ने दी जानकारी,1
तब छीनना अधिकार ही कर्तव्य है,तब छीनना अधिकार ही कर्तव्य है।,1
में महिलाओं ब्रेस्ट कैंसर के मामले बढ़े हैं,महिलाओं में ब्रेस्ट कैंसर के मामले बढ़े हैं,1
इस बीच शनिवार को जाह्नवी कपूर मुंबई के एक कैफे में में स्पॉट की गयीं।,इस बीच शनिवार को जाह्नवी कपूर मुंबई के एक कैफे में स्पॉट की गयीं।,1
"पुलिस अधीक्षक नर्स, चालक समेत सात को स्वाट टीम ने उठाया","पुलिस अधीक्षक नर्स, चालक समेत सात को स्वाट टीम ने उठाया",0
"बुजुर्ग के ऊपर गिरी के दीवार, मौत","बुजुर्ग के ऊपर गिरी दीवार, मौत",1
"खेत में अंधेी कत्ल की गुत्थी सुलझी, आरोपी की इस गलती ने खोला हत्या राज","खेत में अंधे कत्ल की गुत्थी सुलझी, आरोपी की इस गलती ने खोला हत्या राज",1
बातों को ध्यान में रखकर खरीदेंगे घर तो हो जाएंगे अमीर,इन बातों को ध्यान में रखकर खरीदेंगे घर तो हो जाएंगे अमीर,1
वेल्डिंग दुकानों में इस्तेमाल होता है ट्रांसफार्मर आयल,वेल्डिंग दुकानों में इस्तेमाल होता है ट्रांसफार्मर आयल,0
थर्मल स्केनिंग में भी फर्जीवाड़ा,थर्मल स्केनिंग में भी फर्जीवाड़ा,0
-अवैध उत्खनन में लगे वाहनों की निगरानी की जाए।,-अवैध उत्खनन में लगे वाहनों की निगरानी की जाए।,0
"आज झुलसाएगी धूप, कल से तेज हवा े साथ गरजेंगे बादल","आज झुलसाएगी धूप, कल से तेज हवा के साथ गरजेंगे बादल",1
चल पडे़ है नया बनाने इतिहास,चल पडे़ है नया इतिहास बनाने,1
महामाया मंदिर परिसर ामें सत्संग,महामाया मंदिर परिसर में सत्संग,1
"स्कूलों से गायब रहने वाले श िक्षकों पर शिकंजा, अब ऐसे लगेगी हाजिरी","स्कूलों से गायब रहने वाले शिक्षकों पर शिकंजा, अब ऐसे लगेगी हाजिरी",1
झारखंड: बंद को देखते हुए परीक्षाएं टाली गईं,झारखंड: बंद को देखते हुए परीक्षाएं टाली गईं,0
मॉरीशस के प्रधानमंत्री ने किए बाबा दर्शन,मॉरीशस के प्रधानमंत्री ने किए बाबा दर्शन,0
लोगों को आने-जाने में होगी सहूलियत,लोगों को आने-जाने में होगी सहूलियत,0
कठुआ रेप केस पर सुप्रीम कोर्ट ने लिया संज्ञान जारी किया नोटिस,"कठुआ रेप केस पर सुप्रीम कोर्ट ने लिया संज्ञान, जारी किया नोटिस",1
घटिया निर्माण पर घटिया बिफरे विधायक,घटिया निर्माण पर बिफरे विधायक,1
"दूसरों के लिए घातक हो, वो घातक शौक सही नहीं","दूसरों के लिए घातक हो, वो शौक सही नहीं",1
घर से निकले कचरे से बना सके फर्ीनचर,घर से निकले कचरे से बना सके फर्नीचर,1
हालत में पत्नी को भोपाल रेफर किया गया,गंभीर हालत में पत्नी को भोपाल रेफर किया गया,1
चेकिंग के दौरान कोतवाल को गाड़ी से चेकिंग कुचलने की कोशिश,चेकिंग के दौरान कोतवाल को गाड़ी से कुचलने की कोशिश,1
अमरपुर के सौंदर्यीकरण के लिए शहर को अतिक्रमण मुक्त कराने का काम,अमरपुर के सौंदर्यीकरण के लिए शहर को अतिक्रमण मुक्त कराने का काम शुरू,1
तक अब कोई दिशा-निदर्ेश नहीं,अब तक कोई दिशा-निदर्ेश नहीं,1
फायदे: मानसिक शक्ति बढ़ती है और ध्यान में सायता मिलती है।,फायदे: मानसिक शक्ति बढ़ती है और ध्यान में सहायता मिलती है।,1
क्रिकेट टूर्नामेंट: विक्टोरिया पार्क का जीत से आगाज,क्रिकेट टूर्नामेंट: विक्टोरिया पार्क का जीत से आगाज,0
"डंडारी में आठ मामलों की सुनवाई, ंचार निष्पादित","डंडारी में आठ मामलों की सुनवाई, चार निष्पादित",1
हिंदी न्यूज़ बिहार लखीसराय सोशल डिस्टेंसिंग के साथ लें स्वास्थ्य सुविधाओं का लाभ,हिंदी न्यूज़ बिहार लखीसराय सोशल डिस्टेंसिंग के साथ लें स्वास्थ्य सुविधाओं का लाभ,0
निगम की जमीन कब्जाने वालों दर्ज होंगे केस,निगम की जमीन कब्जाने वालों पर दर्ज होंगे केस,1
यह हिन्दी पुस्तकं के एक प्रमुख प्रकाशक हैं।,यह हिन्दी पुस्तकों के एक प्रमुख प्रकाशक हैं।,1
इससे पहले शाहरुख खान ने इस फिल्म का फर्स्ट ुलक जारी किया था।,इससे पहले शाहरुख खान ने इस फिल्म का फर्स्ट लुक जारी किया था।,1
मोदी के नेतृत्व में भारत सरकार का जम्मू-कश्मीर पर खुफिया एजेंडा पर्दाफाश,मोदी के नेतृत्व में भारत सरकार का जम्मू-कश्मीर पर खुफिया एजेंडा पर्दाफाश,0
"कहां, कितने को नोटिस मिले","कहां, कितने को मिले नोटिस",1
"खंडहर में तब्दील हो चुकी है जूता फैक्टी, मकान भी नया बन गया","खंडहर में तब्दील हो चुकी है जूता फैक्टी, मकान भी नया बन गया",0
"हिंदी न्यूज़ उत्तर प्रदेश लखनऊ दो हाईवे पर परिवहन दस्ते तैनात, बाकी पर चुनौती","हिंदी न्यूज़ उत्तर प्रदेश लखनऊ दो हाईवे पर परिवहन दस्ते तैनात, बाकी पर चुनौती",0
गिलानी पर लग चुके हैचं ये आरोप,गिलानी पर लग चुके हैं ये आरोप,1
"आंधी ने जिलेभर में मचाई तंबाही, भारी नुकसान","आंधी ने जिलेभर में मचाई तबाही, भारी नुकसान",1
"सड़का परघूमकर जुटाए पैसे, अब कार्यालया में घूम रहे यूथ","सड़का पर घूमकर जुटाए पैसे, अब कार्यालया में घूम रहे यूथ",1
सात ऐसे जिन पर रखें नजर,"सात ऐसे शेयर, जिन पर रखें नजर",1
इस जरा सी लालटेन से नहीं मिटेगा,इस जरा सी लालटेन से नहीं मिटेगा,0
गुर्जरों ने मांगी सियासत में हिस्सेदारी,गुर्जरों ने मांगी सियासत में हिस्सेदारी,0
अपराधिक स्थान पर जाँच पड़तालमें भौतिक सबूत सहायता करता है इस प्रकार-,अपराधिक स्थान पर जाँच पड़ताल में भौतिक सबूत सहायता करता है इस प्रकार-,1
सिरसागंज में प्रसिद्ध तीज मेला महोत्सव शुरू,सिरसागंज में प्रसिद्ध तीज महोत्सव मेला शुरू,1
"सत्ता बदलने के बाद भी नहीं बदले हालात, नकल माफियाओं के सामने  प्रशासन बेबस","सत्ता बदलने के बाद भी नहीं बदले हालात, नकल माफियाओं के सामने प्रशासन बेबस",1
उठा सँभलने तो पर न सँभलने पाया,उठा तो पर न सँभलने पाया,1
"यमुनापार में दो की हत्या, आंख फोड़ी","यमुनापार में दो की हत्या, आंख फोड़ी",0
इस तरह ब्रह्मपुत्र पर बांध  बनाकर चीन पानी  को भारत के खिलाफ सबसे प्रभावी हथियार,इस तरह ब्रह्मपुत्र पर बांध  बनाकर चीन पानी को भारत के खिलाफ सबसे प्रभावी हथियार,1
जिला पंचायत सदस्यों जका नामांकन बौराड़ी में होगा,जिला पंचायत सदस्यों का नामांकन बौराड़ी में होगा,1
- ट्रैफिक रूल्स की लोग उड़ाते हैं धज्जिां,- ट्रैफिक रूल्स की लोग उड़ाते हैं धज्जियां,1
फेलोशिप और स्कॉलरशिप की राशि में राशि बदलाव,फेलोशिप और स्कॉलरशिप की राशि में बदलाव,1
पहले सगाई की फिर प्रेमी जडो़े ने निगला जहर,पहले सगाई की फिर प्रेमी जोड़े ने निगला जहर,1
ममता की पहली फेसबुक पोस्ट,ममता की पहली फेसबुक पोस्ट,0
अगर हाइट हैं कम तो इस तरह से पहनें साड़ी,अगर हाइट हैं कम तो इस तरह से पहनें साड़ी,0
जिनपिंग के खिलफा उठ रही हैं आवाजें,जिनपिंग के खिलाफ उठ रही हैं आवाजें,1
मेट्रो सेवा शुरू होने से दिल्ली की राह आसान,मेट्रो सेवा शुरू होने से दिल्ली की राह आसान,0
म्यांमार से भागकर आए हजारों रोहिंग्या बांग्लदेश में रह रहे हैं,म्यांमार से भागकर आए हजारों रोहिंग्या बांग्लादेश में रह रहे हैं,1
हिंदी न्यूज़ उत्तराखंड ऋषिकेश महंगाई को लेकर सरकार के खिलाफ कांग्रेस का प्रदर्शन,हिंदी न्यूज़ उत्तराखंड ऋषिकेश महंगाई को लेकर सरकार के खिलाफ कांग्रेस का प्रदर्शन,0
साथ न्यूज़ीलैंड में जीत के साथ सचिन तेंदुलकर ने कहा- 'विश्वकप का प्रबल दावेदार है भारत',न्यूज़ीलैंड में जीत के साथ सचिन तेंदुलकर ने कहा- 'विश्वकप का प्रबल दावेदार है भारत',1
निगम की अवैध वसूली से दुकानदारों में रोष,निगम की अवैध वसूली से दुकानदारों में रोष,0
आवाजाही देखी गई है। ऐसा प्रतीत होता है गई कि शायद सेना के जवानो की,आवाजाही देखी गई है। ऐसा प्रतीत होता है कि शायद सेना के जवानो की,1
हैं दुख जता के भरोसे के आदमी,निबटे हैं दुख जता के भरोसे के आदमी,1
"हिंदी न्यूज़ उत्तर प्रदेश वाराणसी पैदल एसएसपी, अतिक्रमण हटाने का दिया निर्देश","हिंदी न्यूज़ उत्तर प्रदेश वाराणसी पैदल घूमे एसएसपी, अतिक्रमण हटाने का दिया निर्देश",1
विश्व जनसंखया दिवस की तैयारियों को लेकर चर्चा,विश्व जनसंख्या दिवस की तैयारियों को लेकर चर्चा,1
राष्ट्रीय राजमार्ग एवं परिवहन मंत्री नितीन गडकरी ने दी जानकारी।,राष्ट्रीय राजमार्ग एवं परिवहन मंत्री नितीन गडकरी ने दी जानकारी।,0
यह फ्रिज है जो देखने में आलमारी जैसा लग रहा है।,यह फ्रिज है जो देखने में आलमारी जैसा लग रहा है।,0
प्रियंवदा की संपत्ति को बहस तेज,प्रियंवदा की संपत्ति को लेकर बहस तेज,1
"कोरोना: रिलायंस ने नाई किट, दो घंटे में नतीजे","कोरोना: रिलायंस ने बनाई किट, दो घंटे में नतीजे",1
इंदौर को मिली नवीन माइक्रोलाइट जहाज की सौगात,इंदौर को मिली नवीन माइक्रोलाइट हवाई जहाज की सौगात,1
प्लांट सोलर के लिए काटे गए पेड़ों में गोलमाल,सोलर प्लांट के लिए काटे गए पेड़ों में गोलमाल,1
क्या है कंपनी की ीयोजना:,क्या है कंपनी की योजना:,1
विजयी प्रतिभागियों को गूंज ने किया सम्मानित,विजयी प्रतिभागियों को गूंज ने किया सम्मानित,0
हरित और स्वच्छ उर्जा को लेकर जन चले जागरूकता अभियान का समापन,हरित और स्वच्छ उर्जा को लेकर चले जन जागरूकता अभियान का समापन,1
गर्मी में बीआरजेपी लगाएगी कई जगहों रप पंप,गर्मी में बीआरजेपी लगाएगी कई जगहों पर पंप,1
"फिर डरा रहा मौसम कश्मीरियों को, पहले ही लाइफलाइन राजमार्ग कई दिनों से बंद है","फिर डरा रहा मौसम कश्मीरियों को, पहले ही लाइफलाइन राजमार्ग कई दिनों से बंद है",0
पलक ने मां श्वेता से बताई थी अपनी दिली ख्वाहिश,पलक ने मां श्वेता से बताई थी अपनी दिली ख्वाहिश,0
स्पीड स्पीड ब्रेकर बन रहा है,स्पीड ब्रेकर बन रहा है,1
लाइेंस क्षेत्र के बाहर बिक्री,लाइसेंस क्षेत्र के बाहर बिक्री,1
जयपुर-आगरा हाईवे हो सकता है सकता बाधित,जयपुर-आगरा हाईवे हो सकता है बाधित,1
इलेक्ट्रॉनिक ावरफेयर सबसे बड़ा खतरा,इलेक्ट्रॉनिक वारफेयर सबसे बड़ा खतरा,1
"हिंदी न्यूज़ उत्तर प्रदेश झांसी किशोरी अपहरण का कर दुष्कर्म का आरोप, रिपोर्ट दर्ज","हिंदी न्यूज़ उत्तर प्रदेश झांसी किशोरी का अपहरण कर दुष्कर्म का आरोप, रिपोर्ट दर्ज",1
कालू बीवी से परेशान होके डॉक्टर के पास गया,कालू बीवी से परेशान होके डॉक्टर के पास गया,0
अभिषेक की जीत अब तक की सबसे जीत बड़ी जीत,अभिषेक की जीत अब तक की सबसे बड़ी जीत,1
प्रदेश हिंदी न्यूज़ उत्तर प्रदेश लखनऊ सड़क दुर्घटना से आवागमन बाधित,हिंदी न्यूज़ उत्तर प्रदेश लखनऊ सड़क दुर्घटना से आवागमन बाधित,1
"फंदे पर लटका मिला महिला की शव,मौेक से भागे ससुरालीजन","फंदे पर लटका मिला महिला की शव,मौके से भागे ससुरालीजन",1
'गोलीबारी की जाँच दो महीने में पूरी हो','गोलीबारी की जाँच दो महीने में पूरी हो',0
तहत - गैंगरेप और पास्को एक्ट के तहत गिरफ्तार कर पुलिस ने तीनों को भेजा जेल,- गैंगरेप और पास्को एक्ट के तहत गिरफ्तार कर पुलिस ने तीनों को भेजा जेल,1
"जानिए सुहाना ने किसके की साथ गुजारी सन्डे की रात, तस्वीरें हो रही है जबरदस्त वायरल","जानिए सुहाना ने किसके साथ गुजारी सन्डे की रात, तस्वीरें हो रही है जबरदस्त वायरल",1
"खुशखबर! दसवीं पास के लिए निकलेंगी हजारों सरकारी नौकरियां, जानिए कैसे मिलेंगी?","खुशखबर! दसवीं पास के लिए निकलेंगी हजारों सरकारी नौकरियां, जानिए कैसे मिलेंगी?",0
"हिंदी न्यूज़ बिहार बेगूसराय सत्तू, भूंजा खाकर टमटम या बैलगाड़ी से होता था चुनाव प्रचरा","हिंदी न्यूज़ बिहार बेगूसराय सत्तू, भूंजा खाकर टमटम या बैलगाड़ी से होता था चुनाव प्रचार",1
"बिहार में चुनाव, लालू और नितीशके खिलाफ रायपुर में फील्डिंग","बिहार में चुनाव, लालू और नितीश के खिलाफ रायपुर में फील्डिंग",1
पटना में बिजली की नहीं,पटना में बिजली की कमी नहीं,1
इस शुक्रवार को झा की फिल्म जयगंगाजल जयगंगाजल रिलीज होने वाली है।,इस शुक्रवार को झा की फिल्म जयगंगाजल रिलीज होने वाली है।,1
इस निमय से फाइनल में पहुंची भारतीय टीम,इस नियम से फाइनल में पहुंची भारतीय टीम,1
गेट कीपर ट्रेनर पहुंचा पहुंचा रही विशेष मदद,गेट कीपर ट्रेनर पहुंचा रही विशेष मदद,1
फैक्ट्रियों के प्रदूषण प गंभीर,फैक्ट्रियों के प्रदूषण पर गंभीर,1
हिंदी न्यूज़ उत्तराखंड काशीपुर जसपुर में शिवसेना की सभी तइकाईयॉ भंग,हिंदी न्यूज़ उत्तराखंड काशीपुर जसपुर में शिवसेना की सभी इकाईयॉ भंग,1
भाजपा के सम्मेलन पन्ना प्रमुख सम्मेलन में आज कांगड़ा में गरजेंगे गडकरी,भाजपा के पन्ना प्रमुख सम्मेलन में आज कांगड़ा में गरजेंगे गडकरी,1
"खाना बनाते समय गैस सिलंडर फटा , दहल उठा पूरा गांव","खाना बनाते समय गैस सिलेंडर फटा , दहल उठा पूरा गांव",1
थने में लड़की से मिलने आए चाचा ने किया लड़की पर हमला,थाने में लड़की से मिलने आए चाचा ने किया लड़की पर हमला,1
पहला वनडे : न्यूजीलैंड न ेवेस्टइंडीज को पांच विकेट से हराया,पहला वनडे : न्यूजीलैंड ने वेस्टइंडीज को पांच विकेट से हराया,1
"जानिए, ताज महल से जुड़ी ये सच्चाई, जिससे अभी तक अंजान थे आप","जानिए, ताजमहल से जुड़ी ये सच्चाई, जिससे अभी तक अंजान थे आप",1
इन पर दर्ज इन हुए वाद,इन पर दर्ज हुए वाद,1
बोर्ड भी हटा दिया गया,बोर्ड भी हटा दिया गया,0
"हरियाणा -कविता जैन, कैबिनेट मंत्री हरियाणा सरकार","-कविता जैन, कैबिनेट मंत्री हरियाणा सरकार",1
पुरुष और प्रकसृति की समानता से होता है संसार में संतुलन,पुरुष और प्रकृति की समानता से होता है संसार में संतुलन,1
श्याम प्रभु खाटू वालों महिमा का किया गुणगान,श्याम प्रभु खाटू वालों की महिमा का किया गुणगान,1
गांधी अमेठी के हर घर को सेनेटाइज कराएंगे राहुल गांधी,अमेठी के हर घर को सेनेटाइज कराएंगे राहुल गांधी,1
वाराणसी में कोरोना से जान गंवाने वालों का निशुल्क अंतिम संस्कार होगा,वाराणसी में कोरोना से जान गंवाने वालों का निशुल्क अंतिम संस्कार होगा,0
एक साल के अंदर मॉडल बिल बनाकर राज्यों को भेजका जाएगा,एक साल के अंदर मॉडल बिल बनाकर राज्यों को भेजा जाएगा,1
पेड़ से लटका मिला नव विवाहिता का मिला शव,पेड़ से लटका मिला नव विवाहिता का शव,1
में हमले घायल हुआ गार्ड।,हमले में घायल हुआ गार्ड।,1
संगीतकार इल्लैया राजा का,संगीतकार इल्लैया राजा का सम्मान,1
मौलाना मोहम्मद जाबिर क़ासमी को उनके पैतृक गांव में किया गया सुपुर्द ए खाक,मौलाना मोहम्मद जाबिर क़ासमी को उनके पैतृक गांव में किया गया सुपुर्द ए खाक,0
पुलसि पर शादी के लिए दबाव बनाने का आरोप,पुलिस पर शादी के लिए दबाव बनाने का आरोप,1
रोमांचक मुकाबले ेमं एक रन से हारा भारत,रोमांचक मुकाबले में एक रन से हारा भारत,1
राजनीतिक दलों न ेचुनावी तैयारियां की तेज,राजनीतिक दलों ने चुनावी तैयारियां की तेज,1
एचएस प्रणॉय भी टूर्नामेंट ेस बाहर,एचएस प्रणॉय भी टूर्नामेंट से बाहर,1
सिमरनजीत सिंह के नाम से दिख रहा विराट कोहली का ट्विटर अकाउंट,सिमरनजीत सिंह के नाम से दिख रहा विराट कोहली का ट्विटर अकाउंट,0
"कलेक्टर के आदेश पर बंद हरीं दुकानें,बाजार में दिनभर छाया रहा सन्नाटा","कलेक्टर के आदेश पर बंद रहीं दुकानें,बाजार में दिनभर छाया रहा सन्नाटा",1
अविनाश लवानिया---मेला अधिकारी सिंहस्थ एवं आयुक्त निगम नगर उज्जैन---कलेक्टर होशंगाबाद,अविनाश लवानिया---मेला अधिकारी सिंहस्थ एवं आयुक्त नगर निगम उज्जैन---कलेक्टर होशंगाबाद,1
आइपीएस विवाद मामले में अुनसूचित आयोग संज्ञान ले: सूरजभान,आइपीएस विवाद मामले में अनुसूचित आयोग संज्ञान ले: सूरजभान,1
आईआईटी कानपुर भर्ती के लिए आवेदन करें,आईआईटी कानपुर भर्ती के लिए आवेदन कैसे करें,1
आर्चबिशप पर आरोप से गरमाई की चर्च राजनीति,आर्चबिशप पर आरोप से गरमाई चर्च की राजनीति,1
क िशोर न्याय बोर्ड के लिए बनी चयन समिति,किशोर न्याय बोर्ड के लिए बनी चयन समिति,1
एक रेगुलेटरी भ्रष्टाचार पर अंकु शलग सकेगा,एक रेगुलेटरी भ्रष्टाचार पर अंकुश लग सकेगा,1
चालक व कंडक्टर ट्रांसपोर्टर की बसें लेकर फरार,चालक व कंडक्टर ट्रांसपोर्टर की बसें लेकर फरार,0
"महापौर का नाम तक नहीं लिया, कर चले गए","महापौर का नाम तक नहीं लिया, रूठ कर चले गए",1
