Input Sentences,Output Sentences,Grammatical Error
"ఎంతోసియానిన్స్ న బూజు తెగులు: ఫోటోలు, ఫోటోలు, ఎలా వదిలించుకోవటం ఎలా?","ఎంతోసియానిన్స్ న బూజు తెగులు: ఫోటోలు, ఎలా వదిలించుకోవటం ఎలా?",1
చెవిలో ఊదుతున్నదెవరు? ఢిల్లీలో ఉన్న ఆయనేనా?,చెవిలో ఊదుతున్నదెవరు? ఢిల్లీలో ఉన్న ఆయనేనా?,0
చిరు ముఖ్య అతిధిగా రంగస్థలం ప్రీరిలీజ్,చిరు ముఖ్య అతిధిగా రంగస్థలం ప్రీరిలీజ్,0
ఏలూరు డీఐజీ - డీఐజీ ఏఎస్ ఖాన్,ఏలూరు డీఐజీ - ఏఎస్ ఖాన్,1
మహేష్ ఢీకొట్టబోయే ఆ తుమిళ స్టార్ ఎవరు ?,మహేష్ ఢీకొట్టబోయే ఆ తమిళ స్టార్ ఎవరు ?,1
ఉత్తర కొరియాలో తొలి కరోనా నమోదు,ఉత్తర కొరియాలో తొలి కరోనా కేసు నమోదు,1
డాబాలో గాలిపటం ఎగరేస్తుండగా హైటెనహ్షన్ వైర్ షాక్,డాబాలో గాలిపటం ఎగరేస్తుండగా హైటెన్షన్ వైర్ షాక్,1
అలాంటి ప్రశ్నలు అడగడం నాకు నచ్చదు: యాంకర్ రష్మీ,అలాంటి ప్రశ్నలు అడగడం నాకు నచ్చదు: యాంకర్ రష్మీ,0
మేడమ్ డేట్ ఏమిటో తెలుసా ?,మేడమ్ పెళ్లి డేట్ ఏమిటో తెలుసా ?,1
చౌటుప్పల్ రిజరట్వ్ ఫారెస్ట్ భూమి కబ్జా,చౌటుప్పల్ రిజర్వ్ ఫారెస్ట్ భూమి కబ్జా,1
చైనీస్ మోడల్ మరియు ఇండియన్ మోడల్ మధ్య తేడా ఏమిటి?,చైనీస్ మోడల్ మరియు ఇండియన్ మోడల్ మధ్య తేడా ఏమిటి?,0
అత్యంత బలహీన భారత ప్రధాని మోదీయే: లాలూ చురక,అత్యంత బలహీన భారత ప్రధాని మోదీయే: లాలూ చురక,0
వెయ్యి కుటుంబాల ఊరికే సాయం పోదు గోపీ!,వెయ్యి కుటుంబాల సాయం ఊరికే పోదు గోపీ!,1
- ఈ ఘటనలో బాజీ - తలకు బలమైన గాయం,- ఈ ఘటనలో  బాజీ తలకు బలమైన గాయం,1
ను యాపిల్ మనం చర్మంపై వాడినప్పుడు ఏం జరుగుతుంది,యాపిల్ ను మనం చర్మంపై వాడినప్పుడు ఏం జరుగుతుంది,1
"ఖమ్మం జిల్లాలో రోడ్డు ఎమ్మెల్యేకు ప్రమాదం,మాజీ గాయాలు","ఖమ్మం జిల్లాలో రోడ్డు ప్రమాదం,మాజీ ఎమ్మెల్యేకు గాయాలు",1
టీ ట్వంటీలు తక్షణ సుస్మితా సేన్,టీ ట్వంటీలు తక్షణ సంతృప్తినిస్తాయి: సుస్మితా సేన్,1
"తమిళనాడులో 'అమ్మ' పథకాలు, ప్రకటనలపై కోర్టులో వ్యాజ్యం","తమిళనాడులో 'అమ్మ' పథకాలు, ప్రకటనలపై కోర్టులో వ్యాజ్యం",0
అచాయిపల్లిలో భూ వినియోగం కింది విధంగా ఉంది:,అచాయిపల్లిలో భూ వినియోగం కింది విధంగా ఉంది:,0
ఫ్యామిలీని మిస్ అవుతున్నా: కుమార్తెతో వార్నర్ సందడి,ఫ్యామిలీని మిస్ అవుతున్నా: కుమార్తెతో వార్నర్ సందడి,0
జేసీ రెడ్డి మాటలు నిజం కానున్నాయా?,జేసీ దివాకర్ రెడ్డి మాటలు నిజం కానున్నాయా?,1
సీరియస్ గా ఉన్న రాష్ట్ోరపతి సతీమణి ఆరోగ్యం,సీరియస్ గా ఉన్న రాష్ట్రపతి సతీమణి ఆరోగ్యం,1
కోర్టు హాలులో పాము కాటు - హాలులో న్యాయమూర్తి తప్పిన ప్రమాదం,కోర్టు హాలులో పాము కాటు - న్యాయమూర్తి తప్పిన ప్రమాదం,1
శాసనసభ ఏపీ తొలి సమావేశాల విశేషాలు,ఏపీ శాసనసభ తొలి సమావేశాల విశేషాలు,1
మగవాళ్ళకు నిరోధక మందును కనిపెట్టిన భారత్,మగవాళ్ళకు గర్భ నిరోధక మందును కనిపెట్టిన భారత్,1
ప్రతిభతో పాటు అదృష్టం ఉంటేనే రాణిస ్తారు,ప్రతిభతో పాటు అదృష్టం ఉంటేనే రాణిస్తారు,1
ఈ వేసవి మూసివేయబడింది ఫ్యాషన్ ఈత దుస్తుల ుతిరిగి,ఈ వేసవి మూసివేయబడింది ఫ్యాషన్ ఈత దుస్తుల తిరిగి,1
ఐబీఎంతో చేతులు కలిపిన తెలంగాణ ప్రభుత్వం,ఐబీఎంతో చేతులు కలిపిన తెలంగాణ ప్రభుత్వం,0
సహాయ కార్యక్రమాలను కోసం పర్ఫె్కట్ రంగు బ్లష్,సహాయ కార్యక్రమాలను కోసం పర్ఫెక్ట్ రంగు బ్లష్,1
"మోనాల్ సేవ్, కుమార్ సాయి ఎలిమినేషన్","మోనాల్ సేవ్, కుమార్ సాయి ఎలిమినేషన్",0
నేను గృహ వ్యాపార ఖర్చులు తీసివేయగలనా?,నేను గృహ వ్యాపార ఖర్చులు తీసివేయగలనా?,0
తుంకుంటలో భూ వినియోగం కింది విధంగా ఉంది:,తుంకుంటలో భూ వినియోగం కింది విధంగా ఉంది:,0
సుప్రీం తీర్పుతో భావోద్వేగానికి గురైన జాఫ్,సుప్రీం తీర్పుతో భావోద్వేగానికి గురైన జాఫర్,1
నిర్మలా సీతారామన్ ఇటీవలే సీతారామన్ ఆర్థికమంత్రిగా బాధ్యతలు స్వీకరించారు,నిర్మలా సీతారామన్ ఇటీవలే ఆర్థికమంత్రిగా బాధ్యతలు స్వీకరించారు,1
పశ్చిమ గోదావరి జిల్లా పట్టెంపాలెం ఎంపీపీ ఘటన,పశ్చిమ గోదావరి జిల్లా పట్టెంపాలెం ఎంపీపీ పాఠశాలలో ఘటన,1
"మకరరాశి: విందులు, అలసట, అనవసర ఆలోచనలు, తండ్రి తరపు వారితో లాభం, పనుల్లో వేగం, పనిచేసేచోట","మకరరాశి: విందులు, అలసట, అనవసర ఆలోచనలు, తండ్రి తరపు వారితో లాభం, పనుల్లో వేగం, పనిచేసేచోట అనుకూలత,",1
రేనపటినుంచి తిరిగి ప్రారంభం కానున్న బోటు వెలికితీత పనులు!,రేపటినుంచి తిరిగి ప్రారంభం కానున్న బోటు వెలికితీత పనులు!,1
షమ్నాపూర్లో భూ వినియోగం కింది విధంగా ఉంది:,షమ్నాపూర్లో భూ వినియోగం కింది విధంగా ఉంది:,0
దక్షిణ మధ్య రైల్వేకు జీఎస్టీ అవార్డు,దక్షిణ మధ్య రైల్వేకు జీఎస్టీ అవార్డు,0
నెహ్రూ-గాంధీ కుటుంబంపై అభ్యంతరకర సమాచారాన్ని అభ్యంతరకర షేర్ చేసిన పాయల్,నెహ్రూ-గాంధీ కుటుంబంపై అభ్యంతరకర సమాచారాన్ని షేర్ చేసిన పాయల్,1
మరోసారి పొడిగింపు ఉండదని అధికారుల స్పష్టీకరణ,మరోసారి పొడిగింపు ఉండదని అధికారుల స్పష్టీకరణ,0
"ఎన్నో విమర్శలు, అవమానాలు ఎదుర్కోవాల్సి వస్తుంది","ఎన్నో విమర్శలు, అవమానాలు ఎదుర్కోవాల్సి వస్తుంది",0
- సంబంధిత భూభాగంలో ఉన్న నిర్వహణ తోటపని అంశాలను;,- సంబంధిత భూభాగంలో ఉన్న నిర్వహణ తోటపని అంశాలను;,0
సాయి భక్తుల విదేశీ నిధులుపై దర్యాప్తు శంకరాచార్య,సాయి భక్తుల విదేశీ నిధులుపై దర్యాప్తు కోరుతున్న శంకరాచార్య,1
కోహ్లీ అంటే ఎంత ముద్దో!,కోహ్లీ అంటే బీసీసీఐకి ఎంత ముద్దో!,1
"వడ్డీ సబ్సిడీ, సావరిన్ పేటెంట్ ఫండ్, క్రెడిట్ గ్యారెంటీ స్కీమ్ వంటి వాటిని ప్రతిపాదించిన రవి శంకర్ ప్రసాద్","వడ్డీ సబ్సిడీ, సావరిన్ పేటెంట్ ఫండ్, క్రెడిట్ గ్యారెంటీ స్కీమ్ వంటి వాటిని ప్రతిపాదించిన రవి శంకర్ ప్రసాద్",0
"విడుదల చేయండి, కేంద్ర జలవనరుల మంత్రికి","విడుదల చేయండి, కేంద్ర జలవనరుల మంత్రికి వినతులు",1
"పట్టపగలు అతి సమీప పోలీసు కాల్పులను తప్పించుకున్న గొలుసు దొంగుల,","పట్టపగలు అతి సమీప పోలీసు కాల్పులను తప్పించుకున్న గొలుసు దొంగలు,",1
స్కూలు ఫీజు చెల్లించేక సెల్ఫీ తో సూసైడ్ నోట్,స్కూలు ఫీజు చెల్లించలేక సెల్ఫీ తో సూసైడ్ నోట్,1
"పవన్ మద్దతా, సొంతంగా బరిలోకి దిగుతారా?","పవన్ మద్దతా, సొంతంగా బరిలోకి దిగుతారా?",0
కోరకనే వరాలిచ్చి కొండంత వెలుగు నిచ్చి,కోరకనే వరాలిచ్చి కొండంత వెలుగు నిచ్చి,0
పుష్ప సినిమాలో ఆ పాత్రలో కనిపించబోతున్న సునీల్,పుష్ప సినిమాలో ఆ పాత్రలో కనిపించబోతున్న సునీల్,0
తరవాత కథనంచేతిలో రేఖలు ఈ విధంగా రఉండే విడాకులకు దారితీస్తుందని మీకు తెలుసా?,తరవాత కథనంచేతిలో రేఖలు ఈ విధంగా ఉండే విడాకులకు దారితీస్తుందని మీకు తెలుసా?,1
రాజకీయ కోసమే ప్రయోజనాల బీజేపీని టార్గెట్ చేశారు,రాజకీయ ప్రయోజనాల కోసమే బీజేపీని టార్గెట్ చేశారు,1
అలాంటి లేదని స్పష్టం చేసిన నటుడు,అలాంటి ఆలోచనేదీ లేదని స్పష్టం చేసిన నటుడు,1
సంకటహర చతుర్థిన మహాగణపతికి ప్రత్యేక పూజలు,సంకటహర చతుర్థిన మహాగణపతికి ప్రత్యేక పూజలు,0
కురచ దుస్తులు వేసుకుందని యువతిపై దాడి,కురచ దుస్తులు వేసుకుందని యువతిపై దాడి,0
గ్రీన్ టీ చేయు తయారు విధానము:,గ్రీన్ టీ తయారు చేయు విధానము:,1
ౌమలిక సదుపాయాల కల్పనకు భారీ నిధులు,మౌలిక సదుపాయాల కల్పనకు భారీ నిధులు,1
నకిలీ నోట్ల నరేంద్ర చలామణిలో మోదీ రాష్ట్రమే ఫస్ట్!,నకిలీ నోట్ల చలామణిలో నరేంద్ర మోదీ రాష్ట్రమే ఫస్ట్!,1
ఎన్నో అంశాల్లో మద్దతుగా నిలిచింతదని వెల్లడి,ఎన్నో అంశాల్లో మద్దతుగా నిలిచిందని వెల్లడి,1
టెక్స్ట్ సందేశం ద్వారా పొందడం సమాచారాన్ని,టెక్స్ట్ సందేశం ద్వారా సమాచారాన్ని పొందడం,1
గుర్రంపాడులో వినియోగం భూ కింది విధంగా ఉంది:,గుర్రంపాడులో భూ వినియోగం కింది విధంగా ఉంది:,1
బీజేపీ ముక్త్ భారత్ ను మేము కోరుకోవడం లేదు: ్రాహుల్ గాంధీ,బీజేపీ ముక్త్ భారత్ ను మేము కోరుకోవడం లేదు: రాహుల్ గాంధీ,1
హోమ్ క్వారంటైన్ లో బాలీవుడ్ జంట ప్రేమ,హోమ్ క్వారంటైన్ లో బాలీవుడ్ ప్రేమ జంట,1
"నేడు, రేపు భారీ నుంచి అతి భారీ వర్షాలు","నేడు, రేపు భారీ నుంచి అతి భారీ వర్షాలు",0
రుణ చెల్లింపుల కోసం డబ్బు వృథా చేయడం,రుణ చెల్లింపుల కోసం డబ్బు వృథా చేయడం,0
మీరు మార్చలేరు లేకపోతే ఏమి జరుగుతుంది?,మీరు మార్చలేరు లేకపోతే ఏమి జరుగుతుంది?,0
"కంది, ప్రొద్దుతిరుగుడు, సజ్జ, నువ్వులు, మిరప, కూరగాయలు","కంది, ప్రొద్దుతిరుగుడు, నువ్వులు, సజ్జ, మిరప, కూరగాయలు",1
రాష్ట్ర కాంగ్రెస్ మహిళా అధ్యక్షురాలిగా లలితారావేందర్ !,రాష్ట్ర కాంగ్రెస్ మహిళా అధ్యక్షురాలిగా లలితారాఘవేందర్ !,1
ఒక్క జీవోతో దర్గా భూములు కాపాడారనికితాబు,ఒక్క జీవోతో దర్గా భూములు కాపాడారని కితాబు,1
సంభూవ్యం సదపత్యవ ద్వర కరాద్రక్ష్యంచ సుక్షేత్రవత్,సంభూవ్యం సదపత్యవ ద్వర కరాద్రక్ష్యంచ సుక్షేత్రవత్,0
షమీ ఇంటి తాళాలు పగలగొట్టాలని హసీన్ జహాన్ డిమామండ్,షమీ ఇంటి తాళాలు పగలగొట్టాలని హసీన్ జహాన్ డిమాండ్,1
వైసీపీ నేతలకు మానవత్వం లేదు: సీఎం చంద్రబాబు,వైసీపీ నేతలకు మానవత్వం లేదు: సీఎం చంద్రబాబు,0
బిగ్ ఆఫర్ ను తిరస్కరించిన సాయిపల్లవి?,బిగ్ ఆఫర్ ను తిరస్కరించిన సాయిపల్లవి?,0
రాజధానిలో అసైన్డ్ భూముల వ్యవహారంలో నోటీసులు,రాజధానిలో అసైన్డ్ భూముల వ్యవహారంలో నోటీసులు,0
ఆరు గంటలకు బీజేపీగ నేతల సమావేశం,ఆరు గంటలకు బీజేపీ నేతల సమావేశం,1
మాజీ అధ్యక్షుడికి కౌంటర్ ఇచ్చిన టీనేజర్,మాజీ అధ్యక్షుడికి కౌంటర్ ఇచ్చిన టీనేజర్,0
"నాణెలతోి అయోధ్య గుడి, రాముని చిత్రం రూపొందించిన కళాకారుడు","నాణెలతో అయోధ్య గుడి, రాముని చిత్రం రూపొందించిన కళాకారుడు",1
ఏపీ ఇంటెలిజెన్స్ మాజీ చీఫ్ ఏబీ్ వెంకటేశ్వరావుకు క్యాట్ లో ఎదురుదెబ్బ!,ఏపీ ఇంటెలిజెన్స్ మాజీ చీఫ్ ఏబీ వెంకటేశ్వరావుకు క్యాట్ లో ఎదురుదెబ్బ!,1
మూడవ వేవ్ గురించి ఏమి కోవిడ్ నుండి బయటపడినవారు ఏమి తెలుసుకోవాలి?,మూడవ వేవ్ గురించి కోవిడ్ నుండి బయటపడినవారు ఏమి తెలుసుకోవాలి?,1
విమానానికి తృటిలో తప్పిన పెను ప్రమాదం,విమానానికి తృటిలో తప్పిన పెను ప్రమాదం,0
ఫార్మాసిటీ రద్దుకు ఎంపీ కోమటిరెడ్డి డిమాండ్,ఫార్మాసిటీ అనుమతుల రద్దుకు ఎంపీ కోమటిరెడ్డి డిమాండ్,1
"వరదలు-జల దిగ్బంధంలో వందలాది గ్రామాలు, ముంపు ప్రాంత ప్రజల ఇక్కట్లు","గోదావరి వరదలు-జల దిగ్బంధంలో వందలాది గ్రామాలు, ముంపు ప్రాంత ప్రజల ఇక్కట్లు",1
కార్మకి చట్టాలను పటిష్ఠం చేయాలని ధర్నా,కార్మిక చట్టాలను పటిష్ఠం చేయాలని ధర్నా,1
మరోసారి మరోసారి కేసీఆర్ హ్యాట్సాఫ్ అన్న జగన్,మరోసారి కేసీఆర్ హ్యాట్సాఫ్ అన్న జగన్,1
ామనసిక నిపుణుల నుండి సహాయం తీసుకోండి,మానసిక నిపుణుల నుండి సహాయం తీసుకోండి,1
జయలలిత తర్వాత బోనుల నిలబడింది జగన్ మాత్రమే,జయలలిత తర్వాత బోనులో నిలబడింది జగన్ మాత్రమే,1
ఇది ప్రపంచంలో వేగగంా బైక్ అభివృద్ధి,ఇది ప్రపంచంలో వేగంగా బైక్ అభివృద్ధి,1
"క్రిస్మస్, జవరి వస్ట్, సంక్రాంతి రద్దీ తట్టుకునేందుకేనని ప్రకటన","క్రిస్మస్, జనవరి వస్ట్, సంక్రాంతి రద్దీ తట్టుకునేందుకేనని ప్రకటన",1
ఫోటో స్టొరీ: కాజు సిస్టర్ బిక:ినీ స్టార్,ఫోటో స్టొరీ: కాజు సిస్టర్ బికినీ స్టార్,1
కేంద్రం నిర్ణయాన్ని వ్యతిరేకించిన జామియత్ ఉలేమా,కేంద్రం నిర్ణయాన్ని వ్యతిరేకించిన జామియత్ ఉలేమా,0
ఒక స్పిన్నింగ్ ప్లాంట్ ఏమిటి? సాగు మొక్కలు స్పిన్నింగ్: ఉదాహరణలు,ఒక స్పిన్నింగ్ ప్లాంట్ ఏమిటి? సాగు మొక్కలు స్పిన్నింగ్: ఉదాహరణలు,0
చిన్నతనంలో మంుదు సీటు లో ప్రయాణం చేయవచ్చు?,చిన్నతనంలో ముందు సీటు లో ప్రయాణం చేయవచ్చు?,1
రాహుల్ గాంధీ క్షమాపణలు చెప్ాల్సిందే!: షిర్డీ సాయిబాబా సంస్థాన్ ట్రస్ట్ డిమాండ్,రాహుల్ గాంధీ క్షమాపణలు చెప్పాల్సిందే!: షిర్డీ సాయిబాబా సంస్థాన్ ట్రస్ట్ డిమాండ్,1
వచ్చే మూడు రోజులూ వానలే !,వచ్చే మూడు రోజులూ వానలే !,0
ఓం నమరో వెంకటేశాయ ప్రమోషన్ మొదలు పెట్టిన నాగార్జున,ఓం నమో వెంకటేశాయ ప్రమోషన్ మొదలు పెట్టిన నాగార్జున,1
రాష్ట్రం నుంచి హస్తిన వెళ్లింన ఆశావహులు:,రాష్ట్రం నుంచి హస్తిన వెళ్లిన ఆశావహులు:,1
ఎస్పి ఓచో ఏమి జనరల్ పన్నులు చెల్లించడానికి? వ్యక్తిగత పారిశ్రామికవేత్తలకు జనరల్ పన్ను వ్యవస్థను: స్టేట్మెంట్స్,ఎస్పి ఓచో ఏమి పన్నులు చెల్లించడానికి? వ్యక్తిగత పారిశ్రామికవేత్తలకు జనరల్ పన్ను వ్యవస్థను: స్టేట్మెంట్స్,1
పాలనలో సర్పంచ్ వార్డు సభ్యులు కీలకం,పాలనలో సర్పంచ్ వార్డు సభ్యులు కీలకం,0
ఉత్తరాంధ్ర ఉడుం పట్టుకు మోదీ తలవంచారు,ఉత్తరాంధ్ర ఉడుం పట్టుకు మోదీ తలవంచారు,0
చదవండి:  ప్రత్యర్దులకి గంబీర్ సవాల్! నిరూపిస్తే రాజకీాయలనుండి తప్పుకుంటా?,చదవండి:  ప్రత్యర్దులకి గంబీర్ సవాల్! నిరూపిస్తే రాజకీయాలనుండి తప్పుకుంటా?,1
ఆయన కంపెనీలపై చైనా ప్రభుతత్వం నిఘా,ఆయన కంపెనీలపై చైనా ప్రభుత్వం నిఘా,1
హాయ్ గర్మీ కో గర్మీ! బాయ్ గోవా ట్రిప్ లో జాన్వీ చిలౌట్!!,హాయ్ గర్మీ కో బాయ్ గర్మీ! గోవా ట్రిప్ లో జాన్వీ చిలౌట్!!,1
కోల్ కతాలో ఎక్కడపడితే ఉమ్మితే అక్కడ ఇక లక్ష రూపాయల జరిమానా!,కోల్ కతాలో ఎక్కడపడితే అక్కడ ఉమ్మితే ఇక లక్ష రూపాయల జరిమానా!,1
ఫీడ్బ్యాక్ కోసం అడగండి మెరుగుపరచడంలో మీకు సహాయం చేయడానికి ఫలితాలతో ఏదో ఒకటి చేయండి,ఫీడ్బ్యాక్ కోసం అడగండి మరియు మెరుగుపరచడంలో మీకు సహాయం చేయడానికి ఫలితాలతో ఏదో ఒకటి చేయండి,1
శ్రీనివాస్ రెడ్డి - రెడ్డి జంబలకిడి పంబ,శ్రీనివాస్ రెడ్డి - జంబలకిడి పంబ,1
హార్దిక్ కు మళ్లీ బెయి్ నిరాకరణ,హార్దిక్ కు మళ్లీ బెయిల్ నిరాకరణ,1
కరోనా కనేపథ్యంలో అత్యవసర సేవలను తిరస్కరించకూడదు,కరోనా నేపథ్యంలో అత్యవసర సేవలను తిరస్కరించకూడదు,1
తెలంగాణలో కకలలం రేపుతున్న చెడ్డీ గ్యాంగ్,తెలంగాణలో కలకలం రేపుతున్న చెడ్డీ గ్యాంగ్,1
సినీ పండుగకు అతిథిగా ముఖ్య రాష్ట్రపతి,సినీ పండుగకు ముఖ్య అతిథిగా రాష్ట్రపతి,1
రామ్ ఎవరో ర్ాసిచ్చిన స్క్రిప్టు చదివాడన్న వంశీ,రామ్ ఎవరో రాసిచ్చిన స్క్రిప్టు చదివాడన్న వంశీ,1
ఎకరా భూమి కబ్జా కాలేదు,ఎకరా భూమి కూడా కబ్జా కాలేదు,1
విజయసాయిరెడ్డి ఒళ్లు దగ్గర పెట్టుకుని మాట్లాడాలి,విజయసాయిరెడ్డి ఒళ్లు దగ్గర పెట్టుకుని మాట్లాడాలి,0
ప్రభాస్-నాగ్ అశ్విన్ సినిమా అప్ డేట్,ప్రభాస్-నాగ్ అశ్విన్ సినిమా అప్ డేట్,0
'అత్తారింటికి దారేది ' మూవీ రీమేక్ టీజర్,'అత్తారింటికి దారేది ' మూవీ రీమేక్ టీజర్,0
విక్కీ కౌశల్ ఏ హీరోయిన్ ను పెళ్లి విక్కీ చేసుకోనున్నాడు?,విక్కీ కౌశల్ ఏ హీరోయిన్ ను పెళ్లి చేసుకోనున్నాడు?,1
వేలు విరిగడంతోబ ంగ్లా సిరీస్ కు దూరమైన ఆసీస్ వైస్ కెప్టెన్,వేలు విరిగడంతో బంగ్లా సిరీస్ కు దూరమైన ఆసీస్ వైస్ కెప్టెన్,1
అపోహ : కుటుంబంలో ఎవరికీ లేకపోతే ఆస్తమా రాదు అనడంలో నిజం  ఉందా?,అపోహ : కుటుంబంలో ఎవరికీ లేకపోతే ఆస్తమా రాదు అనడంలో నిజం ఉందా?,1
సిరులు పండె సారమున్న మాగాణియె కద ఎద నీ,సిరులు పండె సారమున్న మాగాణియె కద నీ ఎద,1
రాజకీయ శూన్యం నుంచి మహా శక్తి ఆవిర్భావం,రాజకీయ శూన్యం నుంచి మహా శక్తి ఆవిర్భావం,0
నడిరోడ్డుపై అసభ్యంగా తాకిన హోమ్ గార్డు,నడిరోడ్డుపై బాలికలను అసభ్యంగా తాకిన హోమ్ గార్డు,1
ఉత్తరాదిన శ్రావణమాసం శ్రావణమాసం మూడో సోమవారం కావడంతో పోటెత్తిన భక్తులు,ఉత్తరాదిన శ్రావణమాసం మూడో సోమవారం కావడంతో పోటెత్తిన భక్తులు,1
ప్లీనరీ కన్నా ముందే పదవుల పంపకం,ప్లీనరీ కన్నా ముందే పదవుల పంపకం,0
ఉద్యోగ భద్రతపై ఆందోళనలో అంగన్ వాడీ వర్కర్లు,ఉద్యోగ భద్రతపై ఆందోళనలో అంగన్ వాడీ వర్కర్లు,0
మర్రికొమ్మదిన్నెలో భూ కింది వినియోగం విధంగా ఉంది:,మర్రికొమ్మదిన్నెలో భూ వినియోగం కింది విధంగా ఉంది:,1
సెప్పి నా హృదయపుత్రిక మీకును మేలుపాడఁగా,బుద్దులు సెప్పి నా హృదయపుత్రిక మీకును మేలుపాడఁగా,1
బాధేసింది: అంబటి ఎమ్మెస్కే రాయుడిపై ప్రసాద్ వ్యాఖ్య,బాధేసింది: అంబటి రాయుడిపై ఎమ్మెస్కే ప్రసాద్ వ్యాఖ్య,1
పారిస్ ఉగ్రదాడి నుంచి తప్పించుకున్న,పారిస్ ఉగ్రదాడి నుంచి తప్పించుకున్న రేణుదేశాయ్,1
ఆ భారత క్రికెటర్ కరోనా,ఆ భారత క్రికెటర్ కు కరోనా,1
లాయానఁ గట్టక లలి మేఁత వేట్టక,లాయానఁ గట్టక లలి మేఁత వేట్టక,0
పైపులైన్ ద్వారా నగరానికి పెట్రో ఉత్పత్తుల రఫరాకు త్వరలో ఏర్పాట్లు,పైపులైన్ ద్వారా నగరానికి పెట్రో ఉత్పత్తుల సరఫరాకు త్వరలో ఏర్పాట్లు,1
ఏపీ ప్రభుత్వం నుంచి ఇంకా ప్రతిాపదన రాలేదు,ఏపీ ప్రభుత్వం నుంచి ఇంకా ప్రతిపాదన రాలేదు,1
వరల్డ్ లీగ్ కప్ మ్యాచ్ లో టాస్ గెలిచిన దక్షిణాఫ్రికా,వరల్డ్ కప్ లీగ్ మ్యాచ్ లో టాస్ గెలిచిన దక్షిణాఫ్రికా,1
'గాడ్ ఫాదర్'కి చెల్లెలితో కష్టమే వచ్చిందే!,'గాడ్ ఫాదర్'కి చెల్లెలితో కష్టమే వచ్చిందే!,0
పార్టీ విజయానికి కలిసి కృషి చేయాలి,పార్టీ విజయానికి కలిసి కృషి చేయాలి,0
ఎన్టీఆర్ బర్త్ డేకి సర్ ప్రైజ్ ఇవ్వనున్న ఆర్ఆర్ఆర్ టీమ్!,ఎన్టీఆర్ బర్త్ డేకి సర్ ప్రైజ్ ఇవ్వనున్న ఆర్ఆర్ఆర్ టీమ్!,0
