Input Sentences,Output Sentences
తరవాత కథనంచేతిలో రేఖలు ఈ విధంగా ఉండే విడాకులకు దారితీస్తుందని మీకు తెలుసా?,తరవాత కథనంచేతిలో రేఖలు ఈ విధంగా ఉండే విడాకులకు దారితీస్తుందని మీకు తెలుసా?
రాజకీయ ప్రయోజనాల కోసమే బీజేపీని టార్గెట్ చేశారు,రాజకీయ ప్రయోజనాల కోసమే బీజేపీని టార్గెట్ చేశారు
అలాంటి ఆలోచనేదీ లేదని స్పష్టం చేసిన నటుడు,అలాంటి ఆలోచనేదీ లేదని స్పష్టం చేసిన నటుడు
సంకటహర చతుర్థిన మహాగణపతికి ప్రత్యేక పూజలు,సంకటహర చతుర్థిన మహాగణపతికి ప్రత్యేక పూజలు
కురచ దుస్తులు వేసుకుందని యువతిపై దాడి,కురచ దుస్తులు వేసుకుందని యువతిపై దాడి
గ్రీన్ టీ తయారు చేయు విధానము:,గ్రీన్ టీ తయారు చేయు విధానము:
మౌలిక సదుపాయాల కల్పనకు భారీ నిధులు,మౌలిక సదుపాయాల కల్పనకు భారీ నిధులు
నకిలీ నోట్ల చలామణిలో నరేంద్ర మోదీ రాష్ట్రమే ఫస్ట్!,నకిలీ నోట్ల చలామణిలో నరేంద్ర మోదీ రాష్ట్రమే ఫస్ట్!
ఎన్నో అంశాల్లో మద్దతుగా నిలిచిందని వెల్లడి,ఎన్నో అంశాల్లో మద్దతుగా నిలిచిందని వెల్లడి
టెక్స్ట్ సందేశం ద్వారా సమాచారాన్ని పొందడం,టెక్స్ట్ సందేశం ద్వారా సమాచారాన్ని పొందడం
గుర్రంపాడులో భూ వినియోగం కింది విధంగా ఉంది:,గుర్రంపాడులో భూ వినియోగం కింది విధంగా ఉంది:
బీజేపీ ముక్త్ భారత్ ను మేము కోరుకోవడం లేదు: రాహుల్ గాంధీ,బీజేపీ ముక్త్ భారత్ ను మేము కోరుకోవడం లేదు: రాహుల్ గాంధీ
హోమ్ క్వారంటైన్ లో బాలీవుడ్ ప్రేమ జంట,హోమ్ క్వారంటైన్ లో బాలీవుడ్ ప్రేమ జంట
"నేడు, రేపు భారీ నుంచి అతి భారీ వర్షాలు","నేడు, రేపు భారీ నుంచి అతి భారీ వర్షాలు"
రుణ చెల్లింపుల కోసం డబ్బు వృథా చేయడం,రుణ చెల్లింపుల కోసం డబ్బు వృథా చేయడం
మీరు మార్చలేరు లేకపోతే ఏమి జరుగుతుంది?,మీరు మార్చలేరు లేకపోతే ఏమి జరుగుతుంది?
"కంది, ప్రొద్దుతిరుగుడు, నువ్వులు, సజ్జ, మిరప, కూరగాయలు","కంది, ప్రొద్దుతిరుగుడు, నువ్వులు, సజ్జ, మిరప, కూరగాయలు"
రాష్ట్ర కాంగ్రెస్ మహిళా అధ్యక్షురాలిగా లలితారాఘవేందర్ !,రాష్ట్ర కాంగ్రెస్ మహిళా అధ్యక్షురాలిగా లలితారాఘవేందర్ !
ఒక్క జీవోతో దర్గా భూములు కాపాడారని కితాబు,ఒక్క జీవోతో దర్గా భూములు కాపాడారని కితాబు
సంభూవ్యం సదపత్యవ ద్వర కరాద్రక్ష్యంచ సుక్షేత్రవత్,సంభూవ్యం సదపత్యవ ద్వర కరాద్రక్ష్యంచ సుక్షేత్రవత్
షమీ ఇంటి తాళాలు పగలగొట్టాలని హసీన్ జహాన్ డిమాండ్,షమీ ఇంటి తాళాలు పగలగొట్టాలని హసీన్ జహాన్ డిమాండ్
వైసీపీ నేతలకు మానవత్వం లేదు: సీఎం చంద్రబాబు,వైసీపీ నేతలకు మానవత్వం లేదు: సీఎం చంద్రబాబు
బిగ్ ఆఫర్ ను తిరస్కరించిన సాయిపల్లవి?,బిగ్ ఆఫర్ ను తిరస్కరించిన సాయిపల్లవి?
రాజధానిలో అసైన్డ్ భూముల వ్యవహారంలో నోటీసులు,రాజధానిలో అసైన్డ్ భూముల వ్యవహారంలో నోటీసులు
ఆరు గంటలకు బీజేపీ నేతల సమావేశం,ఆరు గంటలకు బీజేపీ నేతల సమావేశం
మాజీ అధ్యక్షుడికి కౌంటర్ ఇచ్చిన టీనేజర్,మాజీ అధ్యక్షుడికి కౌంటర్ ఇచ్చిన టీనేజర్
"నాణెలతో అయోధ్య గుడి, రాముని చిత్రం రూపొందించిన కళాకారుడు","నాణెలతో అయోధ్య గుడి, రాముని చిత్రం రూపొందించిన కళాకారుడు"
ఏపీ ఇంటెలిజెన్స్ మాజీ చీఫ్ ఏబీ వెంకటేశ్వరావుకు క్యాట్ లో ఎదురుదెబ్బ!,ఏపీ ఇంటెలిజెన్స్ మాజీ చీఫ్ ఏబీ వెంకటేశ్వరావుకు క్యాట్ లో ఎదురుదెబ్బ!
మూడవ వేవ్ గురించి కోవిడ్ నుండి బయటపడినవారు ఏమి తెలుసుకోవాలి?,మూడవ వేవ్ గురించి కోవిడ్ నుండి బయటపడినవారు ఏమి తెలుసుకోవాలి?
విమానానికి తృటిలో తప్పిన పెను ప్రమాదం,విమానానికి తృటిలో తప్పిన పెను ప్రమాదం
ఫార్మాసిటీ అనుమతుల రద్దుకు ఎంపీ కోమటిరెడ్డి డిమాండ్,ఫార్మాసిటీ అనుమతుల రద్దుకు ఎంపీ కోమటిరెడ్డి డిమాండ్
"గోదావరి వరదలు-జల దిగ్బంధంలో వందలాది గ్రామాలు, ముంపు ప్రాంత ప్రజల ఇక్కట్లు","గోదావరి వరదలు-జల దిగ్బంధంలో వందలాది గ్రామాలు, ముంపు ప్రాంత ప్రజల ఇక్కట్లు"
కార్మిక చట్టాలను పటిష్ఠం చేయాలని ధర్నా,కార్మిక చట్టాలను పటిష్ఠం చేయాలని ధర్నా
మరోసారి కేసీఆర్ హ్యాట్సాఫ్ అన్న జగన్,మరోసారి కేసీఆర్ హ్యాట్సాఫ్ అన్న జగన్
మానసిక నిపుణుల నుండి సహాయం తీసుకోండి,మానసిక నిపుణుల నుండి సహాయం తీసుకోండి
జయలలిత తర్వాత బోనులో నిలబడింది జగన్ మాత్రమే,జయలలిత తర్వాత బోనులో నిలబడింది జగన్ మాత్రమే
ఇది ప్రపంచంలో వేగంగా బైక్ అభివృద్ధి,ఇది ప్రపంచంలో వేగంగా బైక్ అభివృద్ధి
"క్రిస్మస్, జనవరి వస్ట్, సంక్రాంతి రద్దీ తట్టుకునేందుకేనని ప్రకటన","క్రిస్మస్, జనవరి వస్ట్, సంక్రాంతి రద్దీ తట్టుకునేందుకేనని ప్రకటన"
ఫోటో స్టొరీ: కాజు సిస్టర్ బికినీ స్టార్,ఫోటో స్టొరీ: కాజు సిస్టర్ బికినీ స్టార్
కేంద్రం నిర్ణయాన్ని వ్యతిరేకించిన జామియత్ ఉలేమా,కేంద్రం నిర్ణయాన్ని వ్యతిరేకించిన జామియత్ ఉలేమా
ఒక స్పిన్నింగ్ ప్లాంట్ ఏమిటి? సాగు మొక్కలు స్పిన్నింగ్: ఉదాహరణలు,ఒక స్పిన్నింగ్ ప్లాంట్ ఏమిటి? సాగు మొక్కలు స్పిన్నింగ్: ఉదాహరణలు
చిన్నతనంలో ముందు సీటు లో ప్రయాణం చేయవచ్చు?,చిన్నతనంలో ముందు సీటు లో ప్రయాణం చేయవచ్చు?
రాహుల్ గాంధీ క్షమాపణలు చెప్పాల్సిందే!: షిర్డీ సాయిబాబా సంస్థాన్ ట్రస్ట్ డిమాండ్,రాహుల్ గాంధీ క్షమాపణలు చెప్పాల్సిందే!: షిర్డీ సాయిబాబా సంస్థాన్ ట్రస్ట్ డిమాండ్
వచ్చే మూడు రోజులూ వానలే !,వచ్చే మూడు రోజులూ వానలే !
ఓం నమో వెంకటేశాయ ప్రమోషన్ మొదలు పెట్టిన నాగార్జున,ఓం నమో వెంకటేశాయ ప్రమోషన్ మొదలు పెట్టిన నాగార్జున
రాష్ట్రం నుంచి హస్తిన వెళ్లిన ఆశావహులు:,రాష్ట్రం నుంచి హస్తిన వెళ్లిన ఆశావహులు:
ఎస్పి ఓచో ఏమి పన్నులు చెల్లించడానికి? వ్యక్తిగత పారిశ్రామికవేత్తలకు జనరల్ పన్ను వ్యవస్థను: స్టేట్మెంట్స్,ఎస్పి ఓచో ఏమి పన్నులు చెల్లించడానికి? వ్యక్తిగత పారిశ్రామికవేత్తలకు జనరల్ పన్ను వ్యవస్థను: స్టేట్మెంట్స్
పాలనలో సర్పంచ్ వార్డు సభ్యులు కీలకం,పాలనలో సర్పంచ్ వార్డు సభ్యులు కీలకం
ఉత్తరాంధ్ర ఉడుం పట్టుకు మోదీ తలవంచారు,ఉత్తరాంధ్ర ఉడుం పట్టుకు మోదీ తలవంచారు
చదవండి:  ప్రత్యర్దులకి గంబీర్ సవాల్! నిరూపిస్తే రాజకీయాలనుండి తప్పుకుంటా?,చదవండి:  ప్రత్యర్దులకి గంబీర్ సవాల్! నిరూపిస్తే రాజకీయాలనుండి తప్పుకుంటా?
ఆయన కంపెనీలపై చైనా ప్రభుత్వం నిఘా,ఆయన కంపెనీలపై చైనా ప్రభుత్వం నిఘా
హాయ్ గర్మీ కో బాయ్ గర్మీ! గోవా ట్రిప్ లో జాన్వీ చిలౌట్!!,హాయ్ గర్మీ కో బాయ్ గర్మీ! గోవా ట్రిప్ లో జాన్వీ చిలౌట్!!
కోల్ కతాలో ఎక్కడపడితే అక్కడ ఉమ్మితే ఇక లక్ష రూపాయల జరిమానా!,కోల్ కతాలో ఎక్కడపడితే అక్కడ ఉమ్మితే ఇక లక్ష రూపాయల జరిమానా!
ఫీడ్బ్యాక్ కోసం అడగండి మరియు మెరుగుపరచడంలో మీకు సహాయం చేయడానికి ఫలితాలతో ఏదో ఒకటి చేయండి,ఫీడ్బ్యాక్ కోసం అడగండి మరియు మెరుగుపరచడంలో మీకు సహాయం చేయడానికి ఫలితాలతో ఏదో ఒకటి చేయండి
శ్రీనివాస్ రెడ్డి - జంబలకిడి పంబ,శ్రీనివాస్ రెడ్డి - జంబలకిడి పంబ
హార్దిక్ కు మళ్లీ బెయిల్ నిరాకరణ,హార్దిక్ కు మళ్లీ బెయిల్ నిరాకరణ
కరోనా నేపథ్యంలో అత్యవసర సేవలను తిరస్కరించకూడదు,కరోనా నేపథ్యంలో అత్యవసర సేవలను తిరస్కరించకూడదు
తెలంగాణలో కలకలం రేపుతున్న చెడ్డీ గ్యాంగ్,తెలంగాణలో కలకలం రేపుతున్న చెడ్డీ గ్యాంగ్
సినీ పండుగకు ముఖ్య అతిథిగా రాష్ట్రపతి,సినీ పండుగకు ముఖ్య అతిథిగా రాష్ట్రపతి
రామ్ ఎవరో రాసిచ్చిన స్క్రిప్టు చదివాడన్న వంశీ,రామ్ ఎవరో రాసిచ్చిన స్క్రిప్టు చదివాడన్న వంశీ
ఎకరా భూమి కూడా కబ్జా కాలేదు,ఎకరా భూమి కూడా కబ్జా కాలేదు
విజయసాయిరెడ్డి ఒళ్లు దగ్గర పెట్టుకుని మాట్లాడాలి,విజయసాయిరెడ్డి ఒళ్లు దగ్గర పెట్టుకుని మాట్లాడాలి
ప్రభాస్-నాగ్ అశ్విన్ సినిమా అప్ డేట్,ప్రభాస్-నాగ్ అశ్విన్ సినిమా అప్ డేట్
'అత్తారింటికి దారేది ' మూవీ రీమేక్ టీజర్,'అత్తారింటికి దారేది ' మూవీ రీమేక్ టీజర్
విక్కీ కౌశల్ ఏ హీరోయిన్ ను పెళ్లి చేసుకోనున్నాడు?,విక్కీ కౌశల్ ఏ హీరోయిన్ ను పెళ్లి చేసుకోనున్నాడు?
వేలు విరిగడంతో బంగ్లా సిరీస్ కు దూరమైన ఆసీస్ వైస్ కెప్టెన్,వేలు విరిగడంతో బంగ్లా సిరీస్ కు దూరమైన ఆసీస్ వైస్ కెప్టెన్
అపోహ : కుటుంబంలో ఎవరికీ లేకపోతే ఆస్తమా రాదు అనడంలో నిజం ఉందా?,అపోహ : కుటుంబంలో ఎవరికీ లేకపోతే ఆస్తమా రాదు అనడంలో నిజం ఉందా?
సిరులు పండె సారమున్న మాగాణియె కద నీ ఎద,సిరులు పండె సారమున్న మాగాణియె కద నీ ఎద
రాజకీయ శూన్యం నుంచి మహా శక్తి ఆవిర్భావం,రాజకీయ శూన్యం నుంచి మహా శక్తి ఆవిర్భావం
నడిరోడ్డుపై బాలికలను అసభ్యంగా తాకిన హోమ్ గార్డు,నడిరోడ్డుపై బాలికలను అసభ్యంగా తాకిన హోమ్ గార్డు
ఉత్తరాదిన శ్రావణమాసం మూడో సోమవారం కావడంతో పోటెత్తిన భక్తులు,ఉత్తరాదిన శ్రావణమాసం మూడో సోమవారం కావడంతో పోటెత్తిన భక్తులు
ప్లీనరీ కన్నా ముందే పదవుల పంపకం,ప్లీనరీ కన్నా ముందే పదవుల పంపకం
ఉద్యోగ భద్రతపై ఆందోళనలో అంగన్ వాడీ వర్కర్లు,ఉద్యోగ భద్రతపై ఆందోళనలో అంగన్ వాడీ వర్కర్లు
మర్రికొమ్మదిన్నెలో భూ వినియోగం కింది విధంగా ఉంది:,మర్రికొమ్మదిన్నెలో భూ వినియోగం కింది విధంగా ఉంది:
బుద్దులు సెప్పి నా హృదయపుత్రిక మీకును మేలుపాడఁగా,బుద్దులు సెప్పి నా హృదయపుత్రిక మీకును మేలుపాడఁగా
బాధేసింది: అంబటి రాయుడిపై ఎమ్మెస్కే ప్రసాద్ వ్యాఖ్య,బాధేసింది: అంబటి రాయుడిపై ఎమ్మెస్కే ప్రసాద్ వ్యాఖ్య
పారిస్ ఉగ్రదాడి నుంచి తప్పించుకున్న రేణుదేశాయ్,పారిస్ ఉగ్రదాడి నుంచి తప్పించుకున్న రేణుదేశాయ్
ఆ భారత క్రికెటర్ కు కరోనా,ఆ భారత క్రికెటర్ కు కరోనా
లాయానఁ గట్టక లలి మేఁత వేట్టక,లాయానఁ గట్టక లలి మేఁత వేట్టక
పైపులైన్ ద్వారా నగరానికి పెట్రో ఉత్పత్తుల సరఫరాకు త్వరలో ఏర్పాట్లు,పైపులైన్ ద్వారా నగరానికి పెట్రో ఉత్పత్తుల సరఫరాకు త్వరలో ఏర్పాట్లు
ఏపీ ప్రభుత్వం నుంచి ఇంకా ప్రతిపాదన రాలేదు,ఏపీ ప్రభుత్వం నుంచి ఇంకా ప్రతిపాదన రాలేదు
వరల్డ్ కప్ లీగ్ మ్యాచ్ లో టాస్ గెలిచిన దక్షిణాఫ్రికా,వరల్డ్ కప్ లీగ్ మ్యాచ్ లో టాస్ గెలిచిన దక్షిణాఫ్రికా
'గాడ్ ఫాదర్'కి చెల్లెలితో కష్టమే వచ్చిందే!,'గాడ్ ఫాదర్'కి చెల్లెలితో కష్టమే వచ్చిందే!
పార్టీ విజయానికి కలిసి కృషి చేయాలి,పార్టీ విజయానికి కలిసి కృషి చేయాలి
ఎన్టీఆర్ బర్త్ డేకి సర్ ప్రైజ్ ఇవ్వనున్న ఆర్ఆర్ఆర్ టీమ్!,ఎన్టీఆర్ బర్త్ డేకి సర్ ప్రైజ్ ఇవ్వనున్న ఆర్ఆర్ఆర్ టీమ్!
"అవును, గడ్డాలు ఉన్నయ్యా! 'శుభ్రంగా షేవ్' చేసుకునే రోజులు పోయాయి!","అవును, గడ్డాలు ఉన్నయ్యా! 'శుభ్రంగా షేవ్' చేసుకునే రోజులు పోయాయి!"
డిల్లీలో మీడియాతో మాట్లాడుతున్న నాదెండ్ల మనోహర్,డిల్లీలో మీడియాతో మాట్లాడుతున్న నాదెండ్ల మనోహర్
లాక్ డౌన్ లో ఎలా తిరుగుతారు ?,లాక్ డౌన్ లో ఎలా తిరుగుతారు ?
